ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,Ro,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,0.5744559400415317,0.420026308764088,-0.7027974751827115,0.6505599620215412,0.925401837280735,1.4699321195628405,78.07068348781971,-284.02789821384107,0,130,NA,200,100,100,7,582.0557964276821,605.1440179935184,1,0,0.6304491554773111,0.17737846174258065,0.24109098545369836,0.5012437230775244,0.0802868297261966,0.10658839205504778,0.07079006968753287,0,0.058436059602732,0.2491424493219248,0.06197233559803219,0.10297326863858024,0.10744957807464278,0.420026308764088,24.109098545369836,50.12437230775244,8.028682972619661,10.658839205504778,7.079006968753287,0,5.8436059602732,24.91424493219248,6.197233559803219,10.297326863858023,10.744957807464278,42.002630876408794,200000,200000,0.56908,0.562435,0.513935,0.52615,0.563415,0.712805,0.5682634228497441,0.562196554663671,0.5131295203602325,0.5257120719577852,0.5642670375590968,NA,-1.292631683466286,-0.022370215454258744,0.7830370111198827,1.1685666738036586,1.91314368134901,78.08348819359179,-1.1769570898558437,0.05924355468478071,0.7866402525284394,1.1824481019436772,2.0165319067376415,78.08358304807584,2.336168234893898,2.33894955730432,3,0.5051002981293906,0.11567459361044241,0.08161377013903945,0.0036032414085567233,0.013881428140018581,0.10338822538863157,9.485448404689123e-5
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,0.06938460465333164,0.5387022320447851,0.02057811629724223,0.5205511432197593,1.3237097117185646,1.6167903710765321,1.7527931577020512,-252.07556131857936,0,136,NA,200,100,100,7,518.1511226371588,541.239344202995,41,0,0.5870748067059824,0.0927997359082472,0.5082089012825552,0.19045135292593196,0.2085400098832656,0.039837966609243325,0.013143010265742716,0.03981875903326115,0.2216705328198717,0.0892742568587745,0.10198040361537138,0.02028751375000489,0.006797084906969729,0.5599902080490078,50.82089012825553,19.045135292593194,20.85400098832656,3.9837966609243325,1.3143010265742716,3.9818759033261153,22.16705328198717,8.92742568587745,10.198040361537137,2.028751375000489,0.6797084906969728,55.99902080490078,200000,200000,0.51076,0.50245,0.50373,0.501255,0.500965,0.77325,0.5114108899836325,0.5028774871353414,0.5045209411113377,0.5016823147970892,0.5007848163524157,0.7724073041308785,-0.7848304516364827,0.264976975046655,0.8740392882101816,1.459788220812573,1.6821986987093849,2.1561768685590383,-0.7598285692749439,0.26640933646021775,0.8776021063801698,1.460279126302514,1.6823053136240864,2.1653843270914566,4.652151631572615,4.538820123824878,3,0.20885364849468524,0.025001882361538774,0.0014323614135627327,0.003562818169988158,4.909054899411291e-4,1.0661491470154161e-4,0.009207458532418222
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,1.0882096459175754,0.6181743623238769,0.5653747478514917,0.8476864584350512,1.5578436717745867,2.5756111815752076,3.678535136789095,-214.0851403486369,0,130,NA,200,100,100,7,442.1702806972738,465.2585022631101,22,0,0.7400944405023555,0.059635155321735356,0.7140905516423165,0.08760314344586029,0.13867114959008786,0.05463200044788019,0.004885866184760834,1.1728868909433032e-4,0.11475562436052278,0.03986938120883437,0.1052805539282873,0.095782434857258,0.024307071501668373,0.6200049341434292,71.40905516423165,8.760314344586028,13.867114959008786,5.463200044788019,0.4885866184760834,0.011728868909433032,11.475562436052279,3.986938120883437,10.52805539282873,9.5782434857258,2.430707150166837,62.00049341434292,200000,200000,0.67499,0.522795,0.564805,0.58301,0.578495,0.83738,0.6757788114272929,0.5255453777886696,0.5631105667402208,0.5837939454291186,0.5784485659753471,0.8365622083426757,-0.47615238744055954,0.7018536078907236,1.1536371082232253,1.905243900341058,2.8670623277008955,3.9201241515404956,-0.06961448933438796,0.7090583701068673,1.198031601540409,1.9863771039868445,2.9425831334515733,3.993414958080471,4.57431306445669,4.744633807471993,3,0.19148019919592618,0.4065378981061716,0.007204762216143745,0.044394493317183814,0.08113320364578658,0.07552080575067777,0.07329080653997533
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,1.2489293831788804,0.1805662542128552,-0.876341764216929,-0.028327689984241733,0.9929283441143204,1.8044468807278464,2.155298613061218,-297.1411114147589,0,248,NA,200,100,100,7,608.2822228295178,631.3704443953541,18,0,0.6730664069395803,0.16037243785351063,0.19042213349898257,0.29827826452311146,0.35092716412439534,0.12479179817176766,0.02001140254745437,0.015569237134288594,0.013751734803239752,0.06881092822567791,0.24437093003150198,0.2554622477366993,0.08759758692334038,0.33000657227954067,19.042213349898258,29.827826452311147,35.092716412439536,12.479179817176767,2.001140254745437,1.5569237134288594,1.3751734803239752,6.881092822567791,24.4370930031502,25.54622477366993,8.759758692334039,33.000657227954065,200000,200000,0.625505,0.58553,0.604185,0.581835,0.53538,0.69242,0.6258567310276102,0.5842494158900673,0.6030347365935259,0.5818387075513991,0.5361143290873115,0.69252186230987,-1.4270165539491202,-0.425933511295326,0.4419732397640302,1.3251020755705754,1.9598058771201674,2.5114586034451984,-1.2356945316009564,-0.3559564729051341,0.5460363149325633,1.3906497396512907,1.9724135042498654,2.6995990968293295,4.805441524727323,4.492806232349797,3,0.2129328532682081,0.19132202234816376,0.06997703839019187,0.10406307516853314,0.06554766408071533,0.012607627129697985,0.18814049338413108
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,0.9173102072203426,0.26298192017050454,-0.009781579990744017,0.6533243991243068,1.1263324457798614,1.6379849599428171,2.1018937463837117,-302.1059422129358,0,130,NA,200,100,100,7,618.2118844258716,641.3001059917079,16,0,0.5704772419660293,0.13001241456671186,0.4960977763996712,0.24712864063923728,0.12676116839437968,0.07929999894142037,0.032931123383853955,0.01778129224143754,0.1304075662785398,0.16137452131463606,0.13774067044079466,0.13388715714967997,0.0865729078569222,0.35001717695942725,49.60977763996712,24.71286406392373,12.676116839437967,7.929999894142037,3.2931123383853955,1.778129224143754,13.04075662785398,16.137452131463608,13.774067044079466,13.388715714967997,8.65729078569222,35.00171769594272,200000,200000,0.63005,0.54991,0.53654,0.538845,0.535255,0.697715,0.6279235413575068,0.5501526603868366,0.5359183450129917,0.5385903893875813,0.5347952984289783,0.6971566516390351,-0.8041221198219465,0.3101613837311787,0.8734089735162321,1.3525105345475967,1.8370481923541946,2.463766257868174,-0.5497486629145397,0.3432210721165899,0.8903370000262577,1.37211524027425,1.8530311131712995,2.5921902102020646,2.189183470463281,2.275105368306279,3,0.5173068264448956,0.25437345690740676,0.033059688385411234,0.016928026510025562,0.019604705726653293,0.01598292081710495,0.1284239523338906
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,1.449993600580024,0.2536818397349316,-0.9311817766307415,0.11997854571120392,1.062457693825522,1.6762169892439966,2.407177020753153,-293.36050638115677,0,132,NA,200,100,100,7,600.7210127623135,623.8092343281498,23,0,0.7394008084485048,0.1440139770894806,0.17587977139602134,0.37187015699437426,0.3082360945201238,0.09716612828763105,0.03880966119681972,0.008038187605029834,0.006439790471632435,0.062039867883284444,0.19211953319657832,0.17934503466889493,0.18006903231296328,0.37998674146664657,17.587977139602135,37.187015699437424,30.82360945201238,9.716612828763104,3.8809661196819722,0.8038187605029834,0.6439790471632435,6.203986788328445,19.21195331965783,17.934503466889492,18.006903231296327,37.998674146664655,200000,200000,0.64054,0.617155,0.60955,0.570975,0.58233,0.729215,0.6393082611819502,0.617554320259065,0.6104815174173763,0.5728570432640034,0.584301929055455,0.7300518792981641,-1.4702998369026943,-0.3697130023320207,0.5489431954677052,1.32736907361331,1.9554483227339117,2.738369049143621,-1.2648093473651545,-0.2499297062004211,0.6522966463996471,1.3718375300831671,2.0158952006064568,2.940945203251029,1.083614462068191,1.0719411979870235,3,0.7838515393029166,0.2054904895375398,0.1197832961315996,0.10335345093194193,0.0444684564698572,0.0604468778725451,0.20257615410740826
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,1.175885508171565,0.2825815754548265,-1.5827427893172366,-0.48163083415610464,0.9666140684630278,2.17409482799461,3.4879407281920405,-264.0136870245869,0,126,NA,200,100,100,7,542.0273740491738,565.1155956150101,25,0,0.7007517374920151,0.1668684995140033,0.056740050617205856,0.2582940584451273,0.5180973914236635,0.15201949235688428,0.014605629171745682,2.4337798537332755e-4,0.0020821102435475405,0.03286159345239692,0.26430455881204046,0.3040368296049455,0.10668127752063863,0.29003363036643104,5.674005061720585,25.82940584451273,51.809739142366354,15.201949235688428,1.4605629171745682,0.024337798537332755,0.20821102435475405,3.286159345239692,26.430455881204047,30.40368296049455,10.668127752063864,29.003363036643105,200000,200000,0.59936,0.5963,0.634275,0.60986,0.59808,0.699665,0.5984664278097628,0.5954465908536042,0.633076508456016,0.6092393626587885,0.5991955629722118,0.7001591448482775,-2.009325423895217,-0.933992168377282,0.20306556096019637,1.3978711038178762,2.5080893092182515,3.7400202763471793,-1.8838355443933357,-0.8352690931493245,0.39062075253900486,1.5248707574891158,2.6207495558709217,3.8281962081624545,0.32515946054012895,0.7706737283960964,3,0.8564678524001645,0.1254898795018815,0.09872307522795754,0.18755519157880848,0.12699965367123967,0.11266024665267027,0.08817593181527528
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,1.3028658473818295,0.0999806360089876,-0.6349223952648726,0.27735372525480817,1.4606018376533318,2.478683381064057,11.0136870142615,-282.62407677757756,0,128,NA,200,100,100,7,579.2481535551551,602.3363751209914,6,0,0.4935882822200164,0.0720623708473288,0.262739515030885,0.3465062298914968,0.3186918842302894,0.06546895559469923,0.006593415252629575,0,0.023692587999267444,0.11361509006084108,0.36910403971987504,0.2857548165189813,0.10785282969204747,0.0999806360089876,26.2739515030885,34.65062298914968,31.869188423028938,6.546895559469923,0.6593415252629575,0,2.3692587999267443,11.361509006084109,36.910403971987506,28.575481651898134,10.785282969204747,9.99806360089876,200000,200000,0.63957,0.5948,0.621595,0.601365,0.621135,0.577285,0.639671843245933,0.5949167418258903,0.622926933693768,0.6016830042095079,0.6195854723778608,NA,-1.241214601506913,-0.16673052789011325,0.7737676401604939,1.8147879675735548,2.803334585485129,11.103044308910043,-1.0153638946458925,-0.08162177122916181,0.9170853778253604,1.9144113887021315,2.9705512846672955,11.114588405807785,6.4266827062549545,7.685044190350629,3,0.05298972998098428,0.2258507068610205,0.08510875666095144,0.14331773766486644,0.0996234211285767,0.16721669918216664,0.011544096897742051
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,1.648889230359596,0.5645646318664294,-1.0875642123365907,0.7862929761683433,1.3814618566740118,1.5838986977500722,1.894681890471126,-204.45704958968244,0,148,NA,200,100,100,7,422.9140991793649,446.00232074520113,21,0,0.8281902394657504,0.08356849901603602,0.13839376841646434,0.6457582983607398,0.1322794342067598,0.02696011211905991,0.027541107718406344,0.02906727917856977,0.0013521440028740998,0.08320058487202939,0.08725703165934605,0.03462612803808648,0.05355326466452285,0.7400108467631411,13.839376841646434,64.57582983607398,13.227943420675981,2.696011211905991,2.7541107718406344,2.906727917856977,0.13521440028741,8.320058487202939,8.725703165934604,3.4626128038086477,5.355326466452285,74.00108467631411,200000,200000,0.648635,0.710685,0.580155,0.52733,0.541715,0.8629,0.6471586180094607,0.7116623434489832,0.5805981227990386,0.5277552444692314,0.5424295529468679,0.863581820822001,-1.5957052021313647,-0.11153168606229696,1.052471252594474,1.47763131101055,1.7254031121290507,2.280270093600677,-1.3904120246813902,0.2590397366477788,1.10032950163963,1.4832471044696576,1.738565018964933,2.609552141551031,0.5511493015600771,0.8417343147697169,3,0.8394608665745906,0.20529317744997444,0.37057142271007576,0.04785824904515601,0.005615793459107676,0.013161906835882364,0.32928204795035443
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,1.8610907449634992,3.722958915486958e-25,-0.6384756617308549,0.4817769557555813,1.1619414072098788,1.7901396569268653,2.27166934391398,-293.52701954633807,0,1050,NA,200,100,100,7,601.0540390926761,624.1422606585124,25,0,0.7577706460765775,0.1226296330228005,0.2615820461298863,0.42343575324236754,0.19235256760494568,0.08591390156004075,0.025162486903530956,0.011553244559228792,0.006217269599999684,0.07768174381777429,0.15833034050564854,0.22948898778598567,0.18759087882141845,0.34069077946917337,26.158204612988627,42.34357532423675,19.23525676049457,8.591390156004074,2.5162486903530956,1.1553244559228792,0.6217269599999684,7.768174381777429,15.833034050564853,22.94889877859857,18.759087882141845,34.06907794691734,200000,200000,0.68007,0.658935,0.600695,0.595675,0.57348,0.695025,0.6817135864212163,0.6588055070773519,0.6033015090409956,0.595361193445654,0.5732399965653734,0.6936782148193911,-1.2438895127313832,-0.07049401322623074,0.7908175044734161,1.4287915328940157,1.9925630411839954,2.6159037235684446,-0.9612590418704641,0.10331874041594835,0.8609936886991725,1.488525667660357,2.027648910359542,2.9374175007363323,2.004752581059127,1.9019845355804859,3,0.592997225537413,0.2826304708609191,0.17381275364217907,0.07017618422575633,0.059734134766341374,0.03508586917554668,0.32151377716788776
