idx,exp,os_ppt_no,datetime
64,EA_exp_1a,0,Tue Nov 08 2022 11:07:05 GMT+0000 (Greenwich Mean Time)
65,EA_exp_1a,1,Tue Nov 08 2022 11:07:16 GMT+0000 (Greenwich Mean Time)
66,EA_exp_1a,0,Tue Nov 08 2022 10:23:54 GMT+0000 (Greenwich Mean Time)
67,EA_exp_1a,1,Tue Nov 08 2022 10:20:37 GMT+0000 (Greenwich Mean Time)
68,EA_exp_1a,0,Tue Nov 08 2022 10:20:07 GMT+0000 (Greenwich Mean Time)
69,EA_exp_1a,1,Tue Nov 08 2022 10:20:04 GMT+0000 (Greenwich Mean Time)
70,EA_exp_1a,0,Tue Nov 08 2022 10:18:00 GMT+0000 (Greenwich Mean Time)
71,EA_exp_1a,1,Tue Nov 08 2022 10:11:58 GMT+0000 (Greenwich Mean Time)
72,EA_exp_1a,0,Tue Nov 08 2022 09:33:39 GMT+0000 (Greenwich Mean Time)
73,EA_exp_1a,1,Tue Nov 08 2022 09:33:22 GMT+0000 (Greenwich Mean Time)
