ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,la,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,2.4581615099336194,0.6340083334172351,-0.772467726507241,0.6841281706523947,0.992657034027991,1.52748179794464,2.1122223722586586,-286.86151212675077,0,130,NA,200,100,100,7,587.7230242535015,610.8112458193378,48,0,0.6474645981996356,0.16043856009692137,0.21991872727908884,0.5331341554230171,0.08650855720097272,0.09711793509159783,0.04598693476804849,0.017333690237275046,0.08087997887477033,0.21884168815862634,0.05281373476696767,0.10187301820476999,0.13645843973445104,0.4091331402604147,21.991872727908884,53.31341554230171,8.650855720097272,9.711793509159783,4.598693476804849,1.7333690237275046,8.087997887477034,21.884168815862633,5.281373476696767,10.187301820476998,13.645843973445103,40.91331402604147,200000,200000,0.635185,0.654185,0.539405,0.568005,0.573995,0.68004,-1.3460918860313633,-0.036898637214416254,0.8317704649054575,1.2305381130712298,1.7695095861590329,2.472977896399642,-1.1511484013626556,0.18037997731611327,0.8442412910624416,1.267264078730432,1.8127854640257144,2.8398906285717875,4.938712962520437,8.006177383123712,3,0.0458842101716459,0.1949434846687077,0.21727861453052952,0.012470826156984138,0.03672596565920205,0.04327587786668152,0.3669127321721457
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,3.299139044103644,0.5841755109665387,0.037609652070586724,0.5578600176203187,1.4175730748874855,1.6909317760186875,1.79010132270503,-251.27994149301784,0,142,NA,200,100,100,7,516.5598829860357,539.6481045518719,6,0,0.5991808186649104,0.07815772285247291,0.515000543935753,0.19652946830797124,0.21031226490380284,0.03273280608642315,0.008706104658875335,0.036718812107174426,0.2144735090745688,0.08318568668619163,0.1031599855743292,0.02760059327508825,0.010484084327628616,0.5610961410621935,51.5000543935753,19.652946830797124,21.031226490380284,3.273280608642315,0.8706104658875335,3.6718812107174426,21.44735090745688,8.318568668619163,10.31599855743292,2.760059327508825,1.0484084327628616,56.109614106219354,200000,200000,0.67843,0.57874,0.62811,0.54499,0.515095,0.74201,-0.7740967183922226,0.2910824205756493,0.9290363759809418,1.544626842987595,1.7390912838634778,2.1886746058165896,-0.4566930130345046,0.3321766417127556,1.0390853791169465,1.5563780558727178,1.7407138781069906,2.9180886961114294,2.8219155979028447,2.947580472701823,3,0.3997780487875435,0.317403705357718,0.04109422113710631,0.11004900313600474,0.01175121288512293,0.0016225942435128538,0.7294140902948398
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,3.2263127875411497,0.8035600161806747,0.504406378929313,0.8316392155109542,1.7170314689941202,2.383066222040842,2.5004582356763563,-214.71986084688427,0,136,NA,200,100,100,7,443.43972169376855,466.5279432596048,23,0,0.7592799773899339,0.042986711166967506,0.6930120818135782,0.10418160823654421,0.15981959878291008,0.0344021584262415,0.002382914908318212,0.006201637832407791,0.13874309641647,0.02454129700202749,0.07743562919156871,0.11438022041995738,0.028125582835636667,0.6167741741343398,69.30120818135782,10.418160823654421,15.981959878291008,3.4402158426241503,0.23829149083182122,0.6201637832407791,13.874309641647,2.454129700202749,7.743562919156871,11.438022041995739,2.812558283563667,61.67741741343398,200000,200000,0.769425,0.56771,0.678325,0.636495,0.5254,0.782855,-0.5068989601548455,0.6620876772520286,1.19483420962799,1.977543039304593,2.438963207238226,2.8231622668715812,0.06261795631884924,0.6848875381871617,1.3530944493251702,2.0699603598239777,2.4419267617336904,3.4671564200862233,6.388627838118966,6.014074803966725,3,0.1109274596022326,0.5695169164736947,0.022799860935133198,0.15826023969718017,0.09241732051938478,0.002963554495464482,0.643994153214642
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,1.9453112520635958,0.8389200762674907,-0.9515225308684763,-0.04583116649702723,1.103010583293707,1.9265021704680259,2.205349984312169,-295.15994796390385,0,756,NA,200,100,100,7,604.3198959278077,627.408117493644,43,0,0.6930431988188251,0.13501128460234257,0.17066959331087062,0.311052815504552,0.3832663065822348,0.10799043405316677,0.013306078120444598,0.013714772428731203,0.0290725972303211,0.06801351969101987,0.20987068425983388,0.26293597892298004,0.09449698866235047,0.33561023123349465,17.066959331087062,31.1052815504552,38.32663065822348,10.799043405316677,1.3306078120444598,1.3714772428731203,2.90725972303211,6.8013519691019875,20.987068425983388,26.293597892298003,9.449698866235048,33.561023123349464,200000,200000,0.643725,0.61372,0.645175,0.607425,0.53766,0.67533,-1.486448470502574,-0.4656185345094975,0.4732807736129671,1.433082960245677,2.052647133476075,2.556294982568236,-1.2812003336176245,-0.36630638997308396,0.6375372675565633,1.521405558751098,2.063062892734228,2.858946613767362,0.5573444514273312,0.5304793306397501,3,0.9121459866620253,0.20524813688494947,0.09931214453641352,0.16425649394359615,0.08832259850542101,0.010415759258152857,0.30265163119912586
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,1.958188381006123,0.7227423159812941,-0.048495305557972754,0.6958468994660889,1.2146168068504,1.7006123979268557,2.023351129249496,-301.2751760787356,0,124,NA,200,100,100,7,616.5503521574713,639.6385737233076,9,0,0.5886705334783013,0.1122561378362894,0.48066075283191795,0.2760768898344828,0.13100621949730984,0.06774824056391959,0.022989417799220035,0.021518479473149776,0.14945029967030116,0.13510195464596483,0.1267772122054327,0.14150480956579436,0.09860365000998432,0.3485620739025226,48.06607528319179,27.60768898344828,13.100621949730984,6.774824056391959,2.2989417799220035,2.1518479473149776,14.945029967030116,13.510195464596483,12.677721220543269,14.150480956579436,9.860365000998431,34.85620739025226,200000,200000,0.662265,0.585115,0.55956,0.55646,0.537775,0.65974,-0.82901181051025,0.30901939015135316,0.9340855351499711,1.429382002170668,1.8459712591978785,2.3939142153693513,-0.5339484274030428,0.3718967285236279,0.9653079135722593,1.4567687241483729,1.8582614791902534,2.684852039917547,0.6227745706104829,0.6135730999060065,3,0.8933182136298764,0.29506338310720714,0.06287733837227472,0.031222378422288255,0.027386721977704864,0.012290219992374896,0.2909378245481955
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,2.013528105619044,0.9097856582123015,-0.9753804382419746,0.11380180595287892,1.1215947621331777,1.7087796159337776,2.2347716135039954,-293.12857544646977,0,196,NA,200,100,100,7,600.2571508929395,623.3453724587758,3,0,0.7521901784363592,0.13101738985823108,0.16468579167242645,0.38061675485131596,0.3236800636180265,0.08727149989121297,0.031029716790661466,0.012716173176356649,0.016130610688916344,0.0592057570482636,0.1724734538264609,0.18443026452820782,0.19137034876324344,0.3763895651449079,16.468579167242645,38.061675485131595,32.36800636180265,8.727149989121298,3.1029716790661466,1.2716173176356649,1.6130610688916345,5.92057570482636,17.24734538264609,18.44302645282078,19.137034876324343,37.63895651449079,200000,200000,0.659155,0.648725,0.645075,0.587565,0.57923,0.69579,-1.505453046671181,-0.3900001161183576,0.5674697951004966,1.3754367845021072,1.9275071842154634,2.582711979711414,-1.2818377416058029,-0.23605289068722732,0.7142173261025647,1.42804378582123,1.9685952716737434,2.9228174754616076,0.5774991719813006,0.6080793286129627,3,0.8945803304988806,0.2236153050653782,0.1539472254311303,0.14674753100206817,0.05260700131912288,0.041088087458279965,0.34010549575019366
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,1.604861526371606,0.9713516143702622,-1.5714924150483176,-0.4552252024527601,0.9888866917190486,1.8737907175130641,2.181663617353065,-265.73281842247417,0,146,NA,200,100,100,7,545.4656368449483,568.5538584107846,24,0,0.714723875806045,0.16135929125203718,0.05803415743514351,0.26643945806568964,0.5141670932471296,0.13087965309339877,0.015912454181964963,0.014567183976673448,0.0023869163261128817,0.026039620575038044,0.25684958729280394,0.3311458341479464,0.10920402957351313,0.27437401208458556,5.803415743514351,26.643945806568965,51.41670932471296,13.087965309339877,1.5912454181964963,1.4567183976673448,0.23869163261128817,2.6039620575038045,25.684958729280392,33.11458341479464,10.920402957351314,27.437401208458557,200000,200000,0.62363,0.62399,0.67124,0.61144,0.540005,0.662285,-1.999687227348066,-0.9143734368695701,0.22369307392222787,1.3425871471842967,2.011863240310277,2.5350601132124866,-1.8466122649242658,-0.7858298802384882,0.46371727706669996,1.4385762022575734,2.024118309278642,2.794743807249713,0.8390891450632616,4.2089365241706975,3,0.23976869135651158,0.15307496242380014,0.12854355663108186,0.2400242031444721,0.09598905507327671,0.012255068968364924,0.25968369403722624
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,2.1764086299064265,0.7402601709515786,-0.7630006017422029,0.20655441186710588,1.6963974244421176,2.732480833861883,3.294745553987453,-282.54775576546103,0,130,NA,200,100,100,7,579.0955115309221,602.1837330967584,19,0,0.5182905714240588,0.04490532057859753,0.22273151849642542,0.3590895482852548,0.37327361263972225,0.041762354146926084,0.0026504122585103707,4.92554173161075e-4,0.059069377029369347,0.110135462580242,0.3125045889663299,0.30347925392515657,0.11718255870345479,0.09762875879544741,22.27315184964254,35.90895482852548,37.32736126397222,4.176235414692608,0.26504122585103707,0.0492554173161075,5.9069377029369345,11.0135462580242,31.25045889663299,30.347925392515656,11.718255870345478,9.76287587954474,200000,200000,0.6448,0.617295,0.677045,0.62703,0.568975,0.632745,-1.338787955000747,-0.2571273838359278,0.7927048615033355,2.0373682074366823,2.938507490160648,3.558337499161231,-1.1248500108213744,-0.14606079902503868,1.0586035072610476,2.1664285331258135,2.9782041656690597,3.735042614297252,6.285377882915628,7.532402166117578,3,0.05673172067452037,0.21393794417937273,0.11106658481088913,0.26589864575771205,0.12906032568913117,0.039696675508411605,0.17670511513602127
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,2.5384571705967582,0.9459037423455664,-1.1104186519228687,0.7935578733902833,1.380109212621987,1.5532101781069454,1.7834611509848282,-205.2968900519304,0,142,NA,200,100,100,7,424.5937801038608,447.68200166969706,5,0,0.8337480744804207,0.08377651058591584,0.13340933222700474,0.6528642352201259,0.12994992196695354,0.023590045319502817,0.022930831998862033,0.03725563326755099,0.007341516579389669,0.0735031774349568,0.08540723150523291,0.0380626585664407,0.06071351141209396,0.734971904501886,13.340933222700475,65.2864235220126,12.994992196695353,2.3590045319502817,2.2930831998862033,3.725563326755099,0.734151657938967,7.35031774349568,8.540723150523291,3.80626585664407,6.071351141209396,73.4971904501886,200000,200000,0.68738,0.771855,0.61411,0.533515,0.54507,0.801235,-1.614265196984377,-0.11614100145929232,1.056231973550829,1.4630050264128223,1.6609960152918104,2.1828835785252014,-1.367810486339254,0.3685727485179344,1.123030823842274,1.4690484020452694,1.6717602761174586,2.885845716601792,1.068120286365425,2.521415239265624,3,0.47143329916518417,0.24645471064512314,0.4847137499772267,0.06679885029144494,0.006043375632447168,0.010764260825648186,0.7029621380765905
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,1.8899365817781808,0.9922203034747831,-0.6446834036514268,0.48395013350018967,1.171581174294933,1.8056017396092052,2.290052771955076,-293.5000740208125,0,150,NA,200,100,100,7,601.000148041625,624.0883696074613,22,0,0.75872819217145,0.12068262497845539,0.25956618677442667,0.42622318343751964,0.1935280048095983,0.08519233960018024,0.024481156538651683,0.011009128839623461,0.007604026831615412,0.07697396254724659,0.1566938184496879,0.22899847817543761,0.1877889777021439,0.34194073629386856,25.956618677442666,42.622318343751964,19.352800480959832,8.519233960018024,2.4481156538651683,1.100912883962346,0.7604026831615411,7.697396254724659,15.669381844968791,22.899847817543762,18.77889777021439,34.19407362938686,200000,200000,0.681765,0.6591,0.60639,0.59555,0.574015,0.69514,-1.2485672266376744,-0.07219328617303405,0.7958274069302422,1.4400887376655471,2.00871674679321,2.632466063198527,-0.9661230737639249,0.10387407006719114,0.8685847775305207,1.5006199737558887,2.043860459546276,2.956641653834495,1.962445637345326,1.8480934845293706,3,0.6045255903824934,0.28244415287374947,0.17606735624022518,0.07275737060027843,0.06053123609034161,0.03514371275306605,0.324175590635968
