idx,exp,os_ppt_no,datetime
55,EA_exp_1b,50,Mon Nov 14 2022 15:32:06 GMT+0000 (Greenwich Mean Time)
56,EA_exp_1b,49,Mon Nov 14 2022 15:19:47 GMT+0000 (Greenwich Mean Time)
57,EA_exp_1b,47,Mon Nov 14 2022 15:29:24 GMT+0000 (Greenwich Mean Time)
58,EA_exp_1b,46,Mon Nov 14 2022 14:32:27 GMT+0000 (Greenwich Mean Time)
59,EA_exp_1b,45,Mon Nov 14 2022 14:27:01 GMT+0000 (Greenwich Mean Time)
60,EA_exp_1b,44,Mon Nov 14 2022 14:26:49 GMT+0000 (Greenwich Mean Time)
61,EA_exp_1b,42,Mon Nov 14 2022 13:28:08 GMT+0000 (Greenwich Mean Time)
62,EA_exp_1b,41,Mon Nov 14 2022 13:30:14 GMT+0000 (Greenwich Mean Time)
63,EA_exp_1b,40,Mon Nov 14 2022 13:29:06 GMT+0000 (Greenwich Mean Time)
64,EA_exp_1b,34,Mon Nov 14 2022 10:28:15 GMT+0000 (Greenwich Mean Time)
65,EA_exp_1b,32,Mon Nov 14 2022 09:25:22 GMT+0000 (Greenwich Mean Time)
66,EA_exp_1b,87,Wed Nov 09 2022 14:58:53 GMT+0000 (Greenwich Mean Time)
67,EA_exp_1b,80,Wed Nov 09 2022 15:01:20 GMT+0000 (Greenwich Mean Time)
68,EA_exp_1b,77,Wed Nov 09 2022 14:58:47 GMT+0000 (Greenwich Mean Time)
69,EA_exp_1b,76,Wed Nov 09 2022 14:57:43 GMT+0000 (Greenwich Mean Time)
70,EA_exp_1b,66,Wed Nov 09 2022 13:59:21 GMT+0000 (Greenwich Mean Time)
71,EA_exp_1b,65,Wed Nov 09 2022 13:59:40 GMT+0000 (Greenwich Mean Time)
72,EA_exp_1b,64,Wed Nov 09 2022 13:58:51 GMT+0000 (Greenwich Mean Time)
73,EA_exp_1b,63,Wed Nov 09 2022 13:56:09 GMT+0000 (Greenwich Mean Time)
