ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.56,0.14,0.42000000000000004,3,39,44,7,4,3,0,20,24,21,21,14,Inf,0.8416212335729144,0.1509692154967774,-0.3853204664075676,-1.080319340814956,1.8807936081512504,0.20189347914185077,-1.080319340814956,-1.4757910281791702,-1.8807936081512509,FALSE,NA,NA,1,1.747502714248163,1.2359520552865226,-3.8627604446250876,-0.22975317386509975,1.582651673897245,2.552451722704422,3.90262148578587,-288.78420226210454,0,168,NA,200,100,100,7,591.5684045242091,614.6566260900454,18,0,0.5332956039076273,0.17042026809678257,0.020577589116704802,0.42223545475121466,0.38676668803529796,0.09815831908304584,0.052472558325863505,0.01978939068787322,0.010568800285588948,0.15744305488850652,0.29869254091827724,0.19059411719737762,0.1938568015505564,0.1488446851596933,2.05775891167048,42.22354547512147,38.67666880352979,9.815831908304585,5.247255832586351,1.978939068787322,1.0568800285588948,15.744305488850651,29.869254091827724,19.059411719737763,19.38568015505564,14.88446851596933,200000,200000,0.44665,0.518655,0.594045,0.553405,0.55435,0.5764,-4.872448504558597,-1.3876352502383604,0.5946945812018627,2.0081379651519837,3.092133519419688,4.911481030757172,-5.10532351945872,-1.3440828051176394,0.760646356467869,2.059543808619759,3.1623301913649584,5.239869948855883,5.729491060378069,7.792635548498515,3,0.05049745694470764,-0.23287501490012286,0.043552445120720984,0.16595177526600635,0.0514058434677751,0.07019667194527024,0.3283889180987112
2,100,100,0.74,0.12,0.62,4,28,56,10,1,1,1,4,21,26,20,28,2.3263478740408408,1.6448536269514715,0.6433454053929168,-0.050153583464733656,-0.5828415072712162,1.7506860712521695,0.46769879911450835,-1.17498679206609,-2.0537489106318225,-2.3263478740408408,TRUE,0.679689550608206,1.2498942119796594,2,3.5574656842866084,1.4667776525762064,-3.1788854014756076,-0.7547807772953936,2.001440095173734,3.70337078907973,4.929268189103343,-266.58646817649645,0,664,NA,200,100,100,7,547.1729363529929,570.2611579188292,40,0,0.7428522337479644,0.11905180416324268,0.03996807988070802,0.27981240706250765,0.5611677088935416,0.09500402048749523,0.01686791336550897,0.007179870310238479,0.01002478763135367,0.04018908140392146,0.20693389721676042,0.26770005466450325,0.19329118217448127,0.2818609969089799,3.9968079880708016,27.981240706250766,56.116770889354164,9.500402048749523,1.6867913365508969,0.7179870310238479,1.0024787631353669,4.018908140392146,20.69338972167604,26.770005466450325,19.329118217448126,28.186099690897993,200000,200000,0.40908,0.492195,0.67151,0.64202,0.57905,0.64866,-4.20199902695312,-1.6411243678087648,0.4632293794277568,2.649403437085797,4.197135116417313,5.9318892387350175,-4.649713094016213,-1.6626256534949542,0.9288807332150255,2.8897979959213216,4.295786668225908,6.651473390867985,0.46823346715284714,0.5038214011755291,3,0.9180510679657361,-0.44771406706309236,-0.021501285686189364,0.4656513537872687,0.24039455883552474,0.09865155180859464,0.7195841521329678
3,100,100,0.47,0.22,0.24999999999999997,2,41,35,3,16,3,0,30,23,2,28,17,Inf,0.5244005127080407,-0.0752698620998299,-0.125661346855074,-0.9541652531461942,2.053748910631822,0.17637416478086118,-0.7721932141886849,-0.8778962950512285,-1.8807936081512509,FALSE,NA,NA,3,1.0464653728654358,1.3314348274858063,-4.676048414070095,-0.21766044503334125,1.2172238202936883,1.3600546415231762,3.2442789141025585,-277.5731060024131,0,840,NA,200,100,100,7,569.1462120048262,592.2344335706625,1,0,0.4679810139474284,0.22842537560393128,0.009229770980349664,0.43656893600526336,0.3257759174104557,0.02419395385551104,0.16669841019753906,0.03753301155088118,0.013413290403932422,0.26558290671746854,0.25302278893117064,0.02659214743293381,0.2803759291998107,0.1610129373146839,0.9229770980349664,43.65689360052634,32.577591741045566,2.419395385551104,16.669841019753907,3.753301155088118,1.341329040393242,26.558290671746853,25.302278893117062,2.659214743293381,28.03759291998107,16.10129373146839,200000,200000,0.428135,0.47482,0.546355,0.50584,0.572535,0.596205,-5.681388433263141,-1.456283559311545,0.46091942351891163,1.2875066542708307,2.0774072285932745,4.264160835443842,-6.015909363846707,-1.5664797945432047,0.5244933371424435,1.2885067708470608,2.2082606860196945,4.696858154840622,2.7851697565513067,5.154058503964768,3,0.16085761631340056,-0.33452093058356613,-0.11019623523165967,0.06357391362353187,0.0010001165762301145,0.13085345742641996,0.43269731939678024
4,100,100,0.88,0.19,0.69,0,52,29,16,3,0,0,6,6,10,41,37,Inf,1.5547735945968528,1.17498679206609,0.7721932141886849,-0.3318533464368165,Inf,-0.050153583464733656,-0.8778962950512285,-1.8807936081512509,-Inf,NA,NA,NA,4,6.331867326049327,2.3442075230350365,-46.38215657020997,0.0697593663612679,1.489945277137795,3.364312496209137,7.5887255908167734,-240.16756283130238,0,1062,NA,200,100,100,7,494.33512566260475,517.423347228441,41,0,0.8875028194045883,0.18392994116361527,7.185969056961346e-21,0.5174327726379867,0.298637286198398,0.1505003442374102,0.03292372730548143,5.058696207236313e-4,1.7141609802439128e-10,0.06468758763870452,0.04780959278529105,0.10746108293773583,0.41095922499721926,0.3690825114696332,7.185969056961346e-19,51.74327726379867,29.8637286198398,15.050034423741021,3.292372730548143,0.05058696207236313,1.7141609802439128e-8,6.4687587638704525,4.780959278529105,10.746108293773583,41.09592249972193,36.90825114696332,200000,200000,0.299205,0.38006,0.585785,0.66529,0.799005,0.769385,-47.38464220678413,-1.3345395110814888,0.720863216715963,2.1980137871205767,4.31713012671421,8.587899641662712,-48.722100736095754,-2.351429106600487,0.8394751793351201,2.5115691666528135,5.58013634127605,10.523634552500566,0.5092328429893008,0.5888331095138577,3,0.8989839517915958,-1.3374585293116255,-1.0168895955189983,0.11861196261915707,0.3135553795322368,1.2630062145618393,1.9357349108378532
5,100,100,0.7,0.07,0.6299999999999999,43,27,23,4,0,3,12,9,9,8,5,57,1.17498679206609,0.8064212470182404,0.5244005127080407,0.3054807880993974,0.17637416478086118,0.17637416478086118,-0.5244005127080407,-1.4757910281791702,-1.8807936081512509,-1.8807936081512509,TRUE,0.434295375223479,1.0826757775815545,5,4.321192053581414,2.3642425974554624,-0.29955107659825686,0.9099774829733654,2.411926830686253,3.2689341257170446,3.6505192102557986,-267.11927989465363,0,130,NA,200,100,100,7,548.2385597893073,571.3267813551436,27,0,0.6915890833444049,0.0822677257563198,0.42566722991099093,0.2873283251390757,0.20473671919361358,0.04561528106214041,0.011332558106625812,0.025319886587553575,0.12407127690259326,0.06703526937014376,0.11730437038285799,0.08212218787529602,0.03902030848758692,0.5704465869815221,42.56672299109909,28.732832513907567,20.473671919361358,4.561528106214041,1.1332558106625812,2.5319886587553575,12.407127690259326,6.7035269370143755,11.730437038285798,8.2122187875296,3.9020308487586917,57.044658698152205,200000,200000,0.34601,0.542775,0.60576,0.572125,0.530165,0.81964,-1.603565085562146,0.2873225743245327,1.5397491171256346,2.7873051000459346,3.4479540075286854,4.663045742582951,-2.821756333921207,0.3403715484849461,1.7015095549696106,2.8483610745255756,3.4608126680224083,7.152830379951776,2.3263785727565733,4.5347813650325905,3,0.20920877174611818,-1.218191248359061,0.05304897416041343,0.1617604378439761,0.06105597447964106,0.012858660493722862,2.4897846373688246
6,100,100,0.65,0.23,0.42000000000000004,21,32,24,9,3,11,9,17,9,7,5,53,1.3407550336902165,0.6433454053929168,0.3853204664075676,0.20189347914185077,0.0752698620998299,0.8064212470182404,-0.0752698620998299,-0.7388468491852137,-1.080319340814956,-1.2265281200366105,TRUE,0.5934486557464755,0.8040293268622787,6,2.1832063483754167,1.654087347114027,-1.398489162998108,0.2060045983745824,1.1580144740683171,1.7075619589314102,2.016755235999444,-302.2439688512648,0,126,NA,200,100,100,7,618.4879377025296,641.5761592683659,12,0,0.6501714840294475,0.23902825274905815,0.1980559679171888,0.35326381794410733,0.2096519613896457,0.08554804439232744,0.03602528490873835,0.11745492344799235,0.10290453548706247,0.12940016925235873,0.11752381123113129,0.07877354372586293,0.04626160277184127,0.5251363375317433,19.80559679171888,35.326381794410736,20.965196138964572,8.554804439232743,3.6025284908738353,11.745492344799235,10.290453548706246,12.940016925235872,11.752381123113128,7.877354372586293,4.626160277184127,52.513633753174325,200000,200000,0.390205,0.51772,0.544035,0.533585,0.51989,0.724885,-2.5133579484824913,-0.5374789506456675,0.6581329188457974,1.4171943095417627,1.8561437234011244,3.0799998725895974,-3.1431682541828883,-0.5086346136046482,0.7016222007420101,1.4358033909985386,1.8628190024099234,4.366544060084738,3.208502649727791,3.1563019828410033,3,0.3681486113908232,-0.629810305700397,0.028844337041019297,0.043489281896212706,0.018609081456775867,0.00667527900879894,1.2865441874951409
7,100,100,0.73,0.12,0.61,18,37,33,9,3,0,2,7,18,16,10,47,2.053748910631822,1.3407550336902165,0.612812991016627,0.17637416478086118,-0.0752698620998299,0.9153650878428139,-0.125661346855074,-1.17498679206609,-1.8807936081512509,-Inf,FALSE,NA,NA,7,3.795870469384857,1.5765781294468462,-1.5713665340142304,0.20921674746124896,2.0874712895213428,3.3024983819954334,4.050719025143011,-284.4094789753124,0,142,NA,200,100,100,7,582.8189579506248,605.9071795164612,9,0,0.7471769359724829,0.11032052259849634,0.1720216687581919,0.38009256282720427,0.3375652458161075,0.07483494313884742,0.01837364371207617,0.01711193574757275,0.032159531149352785,0.06105849041983562,0.15960504245832863,0.1695745685463369,0.11792626133692968,0.4596761060892164,17.202166875819188,38.00925628272043,33.75652458161075,7.4834943138847425,1.837364371207617,1.7111935747572748,3.2159531149352785,6.105849041983562,15.960504245832862,16.95745685463369,11.792626133692968,45.96761060892164,200000,200000,0.411925,0.538215,0.639925,0.6063,0.562485,0.710725,-2.6704147164870986,-0.6024036460564389,1.0104502292307798,2.590936755813899,3.6325967842157545,5.0610308802720985,-3.1731128466085075,-0.5360520818735062,1.2726005516683587,2.7217463709980665,3.6776262873421968,6.159659267392492,2.324813005721797,5.680537181746679,3,0.12823051317925227,-0.5026981301214088,0.06635156418293275,0.26215032243757896,0.13080961518416734,0.04502950312644227,1.0986283871203932
8,100,100,0.59,0.25,0.33999999999999997,31,19,25,6,11,8,18,10,13,9,7,43,0.9153650878428139,0.5828415072712162,0.2275449766411493,0,-0.17637416478086135,0.49585034734745304,0,-0.6744897501960817,-0.8778962950512285,-1.4050715603096322,TRUE,0.5868922178040431,0.5988151100214828,8,1.7393015844293611,1.7525844235685641,-0.8301304860376066,0.025844945335742664,1.0936478924716297,1.5742949507292001,2.2823952126570677,-322.81944467993037,0,120,NA,200,100,100,7,659.6388893598607,682.727110925697,44,0,0.5910725248499233,0.2509319790510851,0.30361748029660574,0.2028433964067543,0.24260714424555485,0.07932700479794463,0.07901345936761572,0.09259151488552475,0.18753889656654613,0.08581461298329382,0.13557396560023677,0.06755228093532167,0.1003765995219047,0.4231436443926969,30.361748029660575,20.28433964067543,24.260714424555484,7.932700479794463,7.901345936761572,9.259151488552476,18.753889656654614,8.581461298329382,13.557396560023676,6.755228093532168,10.03765995219047,42.31436443926969,200000,200000,0.37787,0.508295,0.540245,0.52716,0.54203,0.712025,-2.02244695592788,-0.39026640568715903,0.534514172206998,1.3222803879393774,1.897727059413196,3.3303992898709627,-2.772776683155654,-0.3825662268876791,0.5766614616624718,1.335071165958915,1.9272401427060004,4.556576770556724,3.9386044062172463,3.8861312602317746,3,0.2740253230080054,-0.7503297272277742,0.007700178799479929,0.042147289455473747,0.012790778019537541,0.029513083292804332,1.2261774806857613
9,100,100,0.74,0.07,0.6699999999999999,19,56,18,5,2,0,0,13,13,12,24,38,Inf,1.1263911290388005,0.6433454053929168,0.3054807880993974,-0.3054807880993974,0.8778962950512288,-0.6744897501960817,-1.4757910281791702,-2.0537489106318225,-Inf,NA,NA,NA,9,4.021821058455528,1.3687322159114548,-1.5307251269164286,1.1821821229894354,2.512919545792342,3.3632027614913267,4.734172982304848,-270.8238937933149,0,822,NA,200,100,100,7,555.6477875866298,578.7360091524661,16,0,0.7507110432823026,0.07495742028509833,0.17788761583649162,0.5874523125860593,0.15970265129235073,0.04149194697323211,0.024752344157960793,0.00871312915390543,0.01701150634420914,0.09457382424272794,0.13770362613076031,0.13268254444708974,0.24528067142884696,0.3727478274063659,17.788761583649162,58.74523125860593,15.970265129235074,4.14919469732321,2.4752344157960793,0.871312915390543,1.701150634420914,9.457382424272794,13.770362613076031,13.268254444708974,24.528067142884698,37.27478274063659,200000,200000,0.45049,0.632435,0.62887,0.5803,0.607885,0.65385,-2.6342546758370866,-0.13045409894916235,1.7440864123386248,2.8848751900644483,3.9018937808672445,5.739514571502349,-2.9094586980208517,0.20722581874296062,1.9181916503259697,2.9540957382719304,4.048323986248281,6.439636682932588,2.251255454791915,7.2463930717159695,3,0.06444555301015464,-0.27520402218376505,0.33767991769212297,0.1741052379873449,0.06922054820748214,0.14643020538103668,0.7001221114302387
10,100,100,0.68,0.32,0.36000000000000004,18,36,14,11,14,7,3,16,13,8,27,33,1.8807936081512504,0.8778962950512288,0.46769879911450835,0.2533471031357998,-0.4399131656732338,0.9153650878428139,-0.10043372051146975,-0.4676987991145081,-0.8064212470182404,-1.4757910281791702,TRUE,0.9649882755804842,0.9814110741003935,10,1.7051199439993543,1.0263106330521115,-1.5717637871301133,0.18792467254919742,0.833240880646004,1.288699054998001,2.4619529350518845,-325.04958908166316,0,202,NA,200,100,100,7,664.0991781633263,687.1873997291626,33,0,0.7004680066397833,0.3029602394059343,0.17196509528351628,0.3748782950699909,0.15019637024055854,0.08688714874713299,0.1375042541477669,0.07856883651103441,0.03943465124625648,0.1462496416401612,0.11384770047379902,0.1004007219467386,0.2765010552570222,0.32356622943602253,17.196509528351626,37.487829506999084,15.019637024055854,8.688714874713298,13.75042541477669,7.856883651103441,3.9434651246256482,14.624964164016118,11.384770047379902,10.04007219467386,27.650105525702216,32.356622943602254,200000,200000,0.51816,0.57113,0.539925,0.53106,0.56197,0.55812,-2.6714669354578104,-0.6131139435780066,0.5020321666566685,1.0526528446383474,1.79232827274028,3.5023888886164944,-2.620613335605372,-0.4980620170104224,0.5281196571184015,1.0656579255846907,1.8669515625074642,3.7022324697188593,1.9053915402536408,1.9004497935651439,3,0.5933235256671375,0.050853599852438425,0.11505192656758423,0.026087490461732976,0.01300508094634334,0.07462328976718413,0.1998435811023649
