exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1a,2,2,5,84,8,175,7,d,2,1690,1359,0,4,4,new,old,female,19
EA_exp_1a,2,2,6,131,7,52,8,d,2,3557,529,1,4,4,old,new,female,19
EA_exp_1a,2,2,7,107,5,26,6,j,1,2901,1134,0,3,3,old,new,female,19
EA_exp_1a,2,2,8,55,8,129,7,d,1,3245,486,0,4,4,new,old,female,19
EA_exp_1a,2,2,9,193,5,34,6,d,1,3007,929,1,3,3,old,new,female,19
EA_exp_1a,2,2,10,87,6,147,5,j,1,3624,753,1,3,3,new,old,female,19
EA_exp_1a,2,2,11,195,3,46,4,d,1,3824,625,1,2,2,old,new,female,19
EA_exp_1a,2,2,12,112,5,10,6,j,2,3029,1093,0,3,3,old,new,female,19
EA_exp_1a,2,2,13,137,7,21,8,d,2,1832,1495,1,4,4,old,new,female,19
EA_exp_1a,2,2,14,115,5,48,6,d,2,2021,498,1,3,3,old,new,female,19
EA_exp_1a,2,2,15,74,6,178,5,d,2,2956,1487,0,3,3,new,old,female,19
EA_exp_1a,2,2,16,164,7,85,8,d,2,3425,593,1,4,4,old,new,female,19
EA_exp_1a,2,2,17,71,8,185,7,j,1,3894,724,1,4,4,new,old,female,19
EA_exp_1a,2,2,18,60,6,199,5,d,1,1989,479,0,3,3,new,old,female,19
EA_exp_1a,2,2,19,39,8,188,7,d,2,1959,851,0,4,4,new,old,female,19
EA_exp_1a,2,2,20,143,3,6,4,j,1,4504,1076,0,2,2,old,new,female,19
EA_exp_1a,2,2,21,170,7,45,8,d,1,1925,354,1,4,4,old,new,female,19
EA_exp_1a,2,2,22,61,8,181,7,d,2,2656,1153,0,4,4,new,old,female,19
EA_exp_1a,2,2,23,145,5,89,6,j,1,6446,728,0,3,3,old,new,female,19
EA_exp_1a,2,2,24,153,11,5,12,d,3,1896,774,1,6,6,old,new,female,19
EA_exp_1a,2,2,25,49,6,176,5,d,2,5602,1454,0,3,3,new,old,female,19
EA_exp_1a,2,2,26,177,7,35,8,d,2,2530,1605,1,4,4,old,new,female,19
EA_exp_1a,2,2,27,154,5,59,6,d,1,4322,847,1,3,3,old,new,female,19
EA_exp_1a,2,2,28,66,6,152,5,j,2,2915,927,1,3,3,new,old,female,19
EA_exp_1a,2,2,29,134,7,20,8,d,2,3241,639,1,4,4,old,new,female,19
EA_exp_1a,2,2,30,65,8,126,7,j,2,3810,948,1,4,4,new,old,female,19
EA_exp_1a,2,2,31,47,6,197,5,j,1,2859,850,1,3,3,new,old,female,19
EA_exp_1a,2,2,32,73,6,155,5,j,1,3276,1060,1,3,3,new,old,female,19
EA_exp_1a,2,2,33,42,8,149,7,d,2,6613,903,0,4,4,new,old,female,19
EA_exp_1a,2,2,34,78,6,179,5,d,2,3025,369,0,3,3,new,old,female,19
EA_exp_1a,2,2,35,69,6,182,5,j,2,2929,579,1,3,3,new,old,female,19
EA_exp_1a,2,2,36,116,5,3,6,j,2,2630,617,0,3,3,old,new,female,19
EA_exp_1a,2,2,37,81,8,148,7,d,1,2668,317,0,4,4,new,old,female,19
EA_exp_1a,2,2,38,15,6,198,5,j,1,4030,646,1,3,3,new,old,female,19
EA_exp_1a,2,2,39,169,5,96,6,d,1,9739,2143,1,3,3,old,new,female,19
EA_exp_1a,2,2,40,86,6,119,5,j,2,2405,847,1,3,3,new,old,female,19
EA_exp_1a,2,2,41,31,6,128,5,j,1,2842,1394,1,3,3,new,old,female,19
EA_exp_1a,2,2,42,23,6,125,5,d,1,3015,968,0,3,3,new,old,female,19
EA_exp_1a,2,2,43,136,5,83,6,j,2,2657,494,0,3,3,old,new,female,19
EA_exp_1a,2,2,44,186,5,40,6,d,1,2583,1050,1,3,3,old,new,female,19
EA_exp_1a,2,2,45,2,8,124,7,j,1,4398,1590,1,4,4,new,old,female,19
EA_exp_1a,2,2,46,150,5,50,6,j,2,4389,975,0,3,3,old,new,female,19
EA_exp_1a,2,2,47,162,5,16,6,j,1,3459,948,0,3,3,old,new,female,19
EA_exp_1a,2,2,48,138,5,32,6,j,2,2986,334,0,3,3,old,new,female,19
EA_exp_1a,2,2,49,133,9,14,10,j,2,4848,965,0,5,5,old,new,female,19
EA_exp_1a,2,2,50,101,3,98,4,d,1,2989,399,1,2,2,old,new,female,19
EA_exp_1a,2,2,51,29,6,127,5,d,2,2877,274,0,3,3,new,old,female,19
EA_exp_1a,2,2,52,92,6,189,5,j,1,3588,447,1,3,3,new,old,female,19
EA_exp_1a,2,2,53,111,5,24,6,j,1,7794,700,0,3,3,old,new,female,19
EA_exp_1a,2,2,54,99,6,172,5,d,1,6494,658,0,3,3,new,old,female,19
EA_exp_1a,2,2,55,173,5,68,6,j,2,1574,624,0,3,3,old,new,female,19
EA_exp_1a,2,2,56,56,8,141,7,j,2,1957,607,1,4,4,new,old,female,19
EA_exp_1a,2,2,57,144,7,77,8,d,1,4981,439,1,4,4,old,new,female,19
EA_exp_1a,2,2,58,37,10,159,9,j,3,2689,1504,1,5,5,new,old,female,19
EA_exp_1a,2,2,59,27,6,146,5,d,2,3071,495,0,3,3,new,old,female,19
EA_exp_1a,2,2,60,135,5,58,6,j,1,2680,535,0,3,3,old,new,female,19
EA_exp_1a,2,2,61,54,6,192,5,d,1,3565,378,0,3,3,new,old,female,19
EA_exp_1a,2,2,62,11,6,194,5,j,1,2138,749,1,3,3,new,old,female,19
EA_exp_1a,2,2,63,121,3,64,4,d,2,2411,581,1,2,2,old,new,female,19
EA_exp_1a,2,2,64,91,6,151,5,j,2,1692,721,1,3,3,new,old,female,19
EA_exp_1a,2,2,65,168,5,36,6,d,1,2260,240,1,3,3,old,new,female,19
EA_exp_1a,2,2,66,191,7,4,8,d,2,1717,441,1,4,4,old,new,female,19
EA_exp_1a,2,2,67,22,8,165,7,j,2,1813,1190,1,4,4,new,old,female,19
EA_exp_1a,2,2,68,43,6,171,5,d,2,3778,358,0,3,3,new,old,female,19
EA_exp_1a,2,2,69,190,5,33,6,d,2,1613,462,1,3,3,old,new,female,19
EA_exp_1a,2,2,70,82,8,187,7,j,2,1928,325,1,4,4,new,old,female,19
EA_exp_1a,2,2,71,180,5,63,6,d,2,1719,715,1,3,3,old,new,female,19
EA_exp_1a,2,2,72,132,3,17,4,d,2,1946,583,1,2,2,old,new,female,19
EA_exp_1a,3,1,1,149,8,3,7,j,3,5125,1965,1,4,4,new,old,female,18
EA_exp_1a,3,1,2,144,10,50,9,j,3,3697,497,1,5,5,new,old,female,18
EA_exp_1a,3,1,3,16,9,172,10,d,3,2243,330,1,5,5,old,new,female,18
EA_exp_1a,3,1,4,100,3,107,4,j,1,2649,635,0,2,2,old,new,female,18
EA_exp_1a,3,1,5,53,3,175,4,d,4,2379,425,1,2,2,old,new,female,18
EA_exp_1a,3,1,6,56,11,187,12,d,4,1510,274,1,6,6,old,new,female,18
EA_exp_1a,3,1,7,164,6,62,5,j,4,2001,445,1,3,3,new,old,female,18
EA_exp_1a,3,1,8,22,9,185,10,d,2,3096,455,1,5,5,old,new,female,18
EA_exp_1a,3,1,9,17,5,188,6,j,1,2527,519,0,3,3,old,new,female,18
EA_exp_1a,3,1,10,127,12,81,11,j,1,5085,733,1,6,6,new,old,female,18
EA_exp_1a,3,1,11,112,4,84,3,j,4,2138,385,1,2,2,new,old,female,18
EA_exp_1a,3,1,12,36,9,136,10,d,4,2445,309,1,5,5,old,new,female,18
EA_exp_1a,3,1,13,111,10,79,9,j,3,2260,358,1,5,5,new,old,female,18
EA_exp_1a,3,1,14,109,8,34,7,d,4,2294,210,0,4,4,new,old,female,18
EA_exp_1a,3,1,15,118,12,90,11,d,4,1640,288,0,6,6,new,old,female,18
EA_exp_1a,3,1,16,26,9,114,10,d,4,2190,274,1,5,5,old,new,female,18
EA_exp_1a,3,1,17,76,3,123,4,j,4,2179,343,0,2,2,old,new,female,18
EA_exp_1a,3,1,18,106,2,98,1,j,3,2046,767,1,1,1,new,old,female,18
EA_exp_1a,3,1,19,137,10,85,9,j,2,3258,548,1,5,5,new,old,female,18
EA_exp_1a,3,1,20,99,5,134,6,d,4,2650,348,1,3,3,old,new,female,18
EA_exp_1a,3,1,21,33,3,161,4,d,1,4842,450,1,2,2,old,new,female,18
EA_exp_1a,3,1,22,147,4,29,3,j,3,2108,401,1,2,2,new,old,female,18
EA_exp_1a,3,1,23,11,1,177,2,d,2,2639,863,1,1,1,old,new,female,18
EA_exp_1a,3,1,24,184,8,64,7,j,2,3737,527,1,4,4,new,old,female,18
EA_exp_1a,3,1,25,129,4,72,3,d,2,2426,352,0,2,2,new,old,female,18
EA_exp_1a,3,1,26,54,1,143,2,j,3,3254,710,0,1,1,old,new,female,18
EA_exp_1a,3,1,27,167,2,55,1,d,4,2627,327,0,1,1,new,old,female,18
EA_exp_1a,3,1,28,2,5,108,6,d,3,3289,1789,1,3,3,old,new,female,18
EA_exp_1a,3,1,29,78,5,125,6,j,1,3651,1483,0,3,3,old,new,female,18
EA_exp_1a,3,1,30,25,5,173,6,j,1,3197,550,0,3,3,old,new,female,18
EA_exp_1a,3,1,31,186,6,44,5,d,2,2649,428,0,3,3,new,old,female,18
EA_exp_1a,3,1,32,49,5,156,6,j,3,3142,452,0,3,3,old,new,female,18
EA_exp_1a,3,1,33,92,9,126,10,d,4,2669,288,1,5,5,old,new,female,18
EA_exp_1a,3,1,34,67,3,181,4,j,2,5314,1750,0,2,2,old,new,female,18
EA_exp_1a,3,1,35,174,12,14,11,j,2,5229,484,1,6,6,new,old,female,18
EA_exp_1a,3,1,36,128,6,21,5,d,1,2491,339,0,3,3,new,old,female,18
EA_exp_1a,3,1,37,93,7,197,8,d,3,2147,535,1,4,4,old,new,female,18
EA_exp_1a,3,1,38,157,8,7,7,d,3,2353,345,0,4,4,new,old,female,18
EA_exp_1a,3,1,39,20,5,153,6,d,1,1993,356,1,3,3,old,new,female,18
EA_exp_1a,3,1,40,83,3,169,4,j,3,5183,413,0,2,2,old,new,female,18
EA_exp_1a,3,1,41,166,4,4,3,d,3,2135,285,0,2,2,new,old,female,18
EA_exp_1a,3,1,42,69,5,163,6,j,1,3057,464,0,3,3,old,new,female,18
EA_exp_1a,3,1,43,82,7,120,8,d,1,2340,325,1,4,4,old,new,female,18
EA_exp_1a,3,1,44,103,10,37,9,j,4,3139,289,1,5,5,new,old,female,18
EA_exp_1a,3,1,45,88,5,180,6,j,4,1395,341,0,3,3,old,new,female,18
EA_exp_1a,3,1,46,6,5,199,6,j,4,1651,349,0,3,3,old,new,female,18
EA_exp_1a,3,1,47,80,1,148,2,d,4,2392,245,1,1,1,old,new,female,18
EA_exp_1a,3,1,48,119,12,12,11,j,4,2809,338,1,6,6,new,old,female,18
EA_exp_1a,3,1,49,24,5,152,6,d,2,3602,363,1,3,3,old,new,female,18
EA_exp_1a,3,1,50,8,9,196,10,d,1,4184,428,1,5,5,old,new,female,18
EA_exp_1a,3,1,51,121,2,43,1,d,4,2669,279,0,1,1,new,old,female,18
EA_exp_1a,3,1,52,146,4,10,3,j,3,9527,374,1,2,2,new,old,female,18
EA_exp_1a,3,1,53,130,12,35,11,d,4,1942,256,0,6,6,new,old,female,18
EA_exp_1a,3,1,54,178,6,51,5,d,3,1796,309,0,3,3,new,old,female,18
EA_exp_1a,3,1,55,5,9,124,10,j,2,1812,519,0,5,5,old,new,female,18
EA_exp_1a,3,1,56,13,7,168,8,j,2,2353,395,0,4,4,old,new,female,18
EA_exp_1a,4,1,1,174,6,26,5,d,3,3954,1960,0,3,3,new,old,female,19
EA_exp_1a,4,1,2,137,10,94,9,j,3,4902,1052,1,5,5,new,old,female,19
EA_exp_1a,4,1,3,188,6,81,5,d,2,5175,569,0,3,3,new,old,female,19
EA_exp_1a,4,1,4,97,1,131,2,d,2,2624,384,1,1,1,old,new,female,19
EA_exp_1a,4,1,5,184,2,68,1,j,2,2444,949,1,1,1,new,old,female,19
EA_exp_1a,4,1,6,167,2,59,1,d,1,2636,5854,0,1,1,new,old,female,19
EA_exp_1a,4,1,7,43,3,149,4,d,3,2672,447,1,2,2,old,new,female,19
EA_exp_1a,4,1,8,114,8,60,7,d,3,1896,329,0,4,4,new,old,female,19
EA_exp_1a,4,1,9,63,5,110,6,d,1,2855,687,1,3,3,old,new,female,19
EA_exp_1a,4,1,10,108,4,41,3,d,1,1971,540,0,2,2,new,old,female,19
EA_exp_1a,4,1,11,2,3,154,4,d,4,2047,699,1,2,2,old,new,female,19
EA_exp_1a,4,1,12,66,7,129,8,d,2,2287,2091,1,4,4,old,new,female,19
EA_exp_1a,4,1,13,192,10,86,9,j,2,3624,783,1,5,5,new,old,female,19
EA_exp_1a,4,1,14,133,6,3,5,d,3,3261,403,0,3,3,new,old,female,19
EA_exp_1a,4,1,15,120,6,95,5,j,2,2831,950,1,3,3,new,old,female,19
EA_exp_1a,4,1,16,142,2,62,1,j,3,2799,873,1,1,1,new,old,female,19
EA_exp_1a,4,1,17,33,5,125,6,j,3,1956,511,0,3,3,old,new,female,19
EA_exp_1a,4,1,18,123,2,53,1,d,2,2282,406,0,1,1,new,old,female,19
EA_exp_1a,4,1,19,112,4,52,3,j,2,1994,574,1,2,2,new,old,female,19
EA_exp_1a,4,1,20,47,3,116,4,d,2,2324,527,1,2,2,old,new,female,19
EA_exp_1a,4,1,21,55,5,187,6,j,4,2169,396,0,3,3,old,new,female,19
EA_exp_1a,4,1,22,58,1,109,2,d,4,1720,365,1,1,1,old,new,female,19
EA_exp_1a,4,1,23,179,4,45,3,d,3,4459,1027,0,2,2,new,old,female,19
EA_exp_1a,4,1,24,1,3,115,4,j,2,2169,507,0,2,2,old,new,female,19
EA_exp_1a,4,1,25,79,3,163,4,d,4,2452,380,1,2,2,old,new,female,19
EA_exp_1a,4,1,26,96,3,158,4,j,2,2503,560,0,2,2,old,new,female,19
EA_exp_1a,4,1,27,32,1,121,2,d,3,2438,478,1,1,1,old,new,female,19
EA_exp_1a,4,1,28,168,6,67,5,d,1,3857,487,0,3,3,new,old,female,19
EA_exp_1a,4,1,29,8,5,135,6,d,3,4274,303,1,3,3,old,new,female,19
EA_exp_1a,4,1,30,35,7,156,8,d,4,3472,271,1,4,4,old,new,female,19
EA_exp_1a,4,1,31,176,6,5,5,j,3,2019,667,1,3,3,new,old,female,19
EA_exp_1a,4,1,32,13,1,196,2,j,2,2188,671,0,1,1,old,new,female,19
EA_exp_1a,4,1,33,126,8,39,7,j,4,1873,511,1,4,4,new,old,female,19
EA_exp_1a,4,1,34,107,6,57,5,d,2,1832,409,0,3,3,new,old,female,19
EA_exp_1a,4,1,35,128,6,72,5,d,2,1717,635,0,3,3,new,old,female,19
EA_exp_1a,4,1,36,73,5,152,6,j,2,1741,482,0,3,3,old,new,female,19
EA_exp_1a,4,1,37,103,6,64,5,d,2,2930,432,0,3,3,new,old,female,19
EA_exp_1a,4,1,38,100,1,113,2,d,2,3083,427,1,1,1,old,new,female,19
EA_exp_1a,4,1,39,83,5,144,6,d,2,1303,455,1,3,3,old,new,female,19
EA_exp_1a,4,1,40,197,4,85,3,d,3,2391,497,0,2,2,new,old,female,19
EA_exp_1a,4,1,41,84,7,200,8,j,3,2010,2020,0,4,4,old,new,female,19
EA_exp_1a,4,1,42,37,9,175,10,d,4,4224,369,1,5,5,old,new,female,19
EA_exp_1a,4,1,43,143,4,88,3,d,2,2476,518,0,2,2,new,old,female,19
EA_exp_1a,4,1,44,24,5,141,6,d,2,1646,630,1,3,3,old,new,female,19
EA_exp_1a,4,1,45,15,7,183,8,d,4,1447,521,1,4,4,old,new,female,19
EA_exp_1a,4,1,46,44,5,106,6,d,4,2481,536,1,3,3,old,new,female,19
EA_exp_1a,4,1,47,136,8,50,7,d,1,2242,335,0,4,4,new,old,female,19
EA_exp_1a,4,1,48,34,3,173,4,d,2,3086,461,1,2,2,old,new,female,19
EA_exp_1a,4,1,49,82,5,161,6,d,2,1192,834,1,3,3,old,new,female,19
EA_exp_1a,4,1,50,28,3,178,4,d,2,2045,470,1,2,2,old,new,female,19
EA_exp_1a,4,1,51,29,1,177,2,j,3,3425,1072,0,1,1,old,new,female,19
EA_exp_1a,4,1,52,189,4,76,3,j,3,2098,824,1,2,2,new,old,female,19
EA_exp_1a,4,1,53,157,4,21,3,d,1,2589,583,0,2,2,new,old,female,19
EA_exp_1a,4,1,54,27,1,134,2,j,2,1211,678,0,1,1,old,new,female,19
EA_exp_1a,4,1,55,185,6,11,5,j,2,2618,313,1,3,3,new,old,female,19
EA_exp_1a,4,1,56,146,8,22,7,d,2,1831,1498,0,4,4,new,old,female,19
EA_exp_1a,4,1,57,51,3,182,4,d,3,1166,663,1,2,2,old,new,female,19
EA_exp_1a,4,1,58,4,5,171,6,j,2,1385,636,0,3,3,old,new,female,19
EA_exp_1a,4,1,59,105,2,38,1,j,2,1614,825,1,1,1,new,old,female,19
EA_exp_1a,4,1,60,151,2,40,1,j,2,1461,564,1,1,1,new,old,female,19
EA_exp_1a,4,1,61,119,4,20,3,j,3,1923,520,1,2,2,new,old,female,19
EA_exp_1a,4,1,62,127,6,89,5,d,3,2254,559,0,3,3,new,old,female,19
EA_exp_1a,4,1,63,70,5,195,6,j,4,1466,373,0,3,3,old,new,female,19
EA_exp_1a,4,1,64,6,3,170,4,d,2,1461,290,1,2,2,old,new,female,19
EA_exp_1a,4,1,65,169,10,87,9,j,2,1425,596,1,5,5,new,old,female,19
EA_exp_1a,5,1,1,54,5,173,6,j,2,7299,3074,0,3,3,old,new,female,18
EA_exp_1a,5,1,2,30,5,130,6,j,3,3217,1310,0,3,3,old,new,female,18
EA_exp_1a,5,1,3,16,7,184,8,d,2,4327,1077,1,4,4,old,new,female,18
EA_exp_1a,5,1,4,113,6,48,5,j,2,5318,1451,1,3,3,new,old,female,18
EA_exp_1a,5,1,5,186,4,67,3,d,2,3324,898,0,2,2,new,old,female,18
EA_exp_1a,5,1,6,187,8,4,7,d,2,2608,445,0,4,4,new,old,female,18
EA_exp_1a,5,1,7,165,6,2,5,j,2,2552,1548,1,3,3,new,old,female,18
EA_exp_1a,5,1,8,93,7,149,8,d,2,3097,763,1,4,4,old,new,female,18
EA_exp_1a,5,1,9,124,6,85,5,d,1,3640,430,0,3,3,new,old,female,18
EA_exp_1a,5,1,10,60,7,137,8,d,2,2725,393,1,4,4,old,new,female,18
EA_exp_1a,5,1,11,158,8,19,7,j,3,2566,3752,1,4,4,new,old,female,18
EA_exp_1a,5,1,12,154,6,39,5,j,1,6960,1012,1,3,3,new,old,female,18
EA_exp_1a,5,1,13,111,8,18,7,d,2,4839,912,0,4,4,new,old,female,18
EA_exp_1a,5,1,14,108,6,36,5,d,1,3260,526,0,3,3,new,old,female,18
EA_exp_1a,5,1,15,79,7,134,8,d,2,1879,488,1,4,4,old,new,female,18
EA_exp_1a,5,1,16,153,4,73,3,d,2,8048,1192,0,2,2,new,old,female,18
EA_exp_1a,5,1,17,23,5,120,6,j,2,2549,1033,0,3,3,old,new,female,18
EA_exp_1a,5,1,18,141,6,78,5,d,1,5095,1307,0,3,3,new,old,female,18
EA_exp_1a,5,1,19,74,3,126,4,d,2,4545,1033,1,2,2,old,new,female,18
EA_exp_1a,5,1,20,50,7,188,8,d,2,3275,978,1,4,4,old,new,female,18
EA_exp_1a,5,1,21,8,5,115,6,j,1,3355,460,0,3,3,old,new,female,18
