idx,exp,os_ppt_no,datetime,jatosID
60,EA_exp_3_forTB,31,Wed Feb 08 2023 10:18:42 GMT+0000 (Greenwich Mean Time),28509
61,EA_exp_3_forTB,29,Wed Feb 08 2023 10:18:39 GMT+0000 (Greenwich Mean Time),28507
62,EA_exp_3_forTB,28,Wed Feb 08 2023 10:18:28 GMT+0000 (Greenwich Mean Time),28506
63,EA_exp_3_forTB,27,Wed Feb 08 2023 10:18:28 GMT+0000 (Greenwich Mean Time),28505
64,EA_exp_3_forTB,26,Wed Feb 08 2023 10:18:28 GMT+0000 (Greenwich Mean Time),28504
65,EA_exp_3_forTB,25,Wed Feb 08 2023 10:18:20 GMT+0000 (Greenwich Mean Time),28503
66,EA_exp_3_forTB,24,Wed Feb 08 2023 10:18:18 GMT+0000 (Greenwich Mean Time),28502
67,EA_exp_3_forTB,18,Wed Feb 08 2023 09:17:00 GMT+0000 (Greenwich Mean Time),28496
68,EA_exp_3_forTB,17,Wed Feb 08 2023 09:16:50 GMT+0000 (Greenwich Mean Time),28495
69,EA_exp_3_forTB,11,Wed Feb 08 2023 09:16:19 GMT+0000 (Greenwich Mean Time),28489
70,EA_exp_3_forTB,4,Wed Feb 08 2023 09:14:39 GMT+0000 (Greenwich Mean Time),28482
71,EA_exp_3_forTB,3,Wed Feb 08 2023 09:13:04 GMT+0000 (Greenwich Mean Time),28481
72,EA_exp_3_forTB,2,Wed Feb 08 2023 09:12:42 GMT+0000 (Greenwich Mean Time),28480
