exp,idx,cbcond,sex_kp_mfor,age_kp
EA_exp_2,1,1,female,19
EA_exp_2,2,1,female,22
EA_exp_2,3,2,female,20
EA_exp_2,4,1,female,25
EA_exp_2,5,1,female,19
EA_exp_2,6,2,female,19
EA_exp_2,7,2,female,23
EA_exp_2,8,2,female,20
EA_exp_2,9,2,female,19
EA_exp_2,10,2,female,19
EA_exp_2,11,2,female,21
EA_exp_2,12,2,male,19
EA_exp_2,13,1,male,18
EA_exp_2,14,1,female,19
EA_exp_2,15,1,female,23
EA_exp_2,16,2,female,20
EA_exp_2,17,1,female,20
EA_exp_2,18,1,male,19
EA_exp_2,19,2,male,19
EA_exp_2,20,2,male,18
EA_exp_2,21,2,rathernotsay,19
EA_exp_2,22,2,female,19
EA_exp_2,23,1,male,18
EA_exp_2,24,1,female,19
EA_exp_2,25,2,male,20
EA_exp_2,26,1,female,19
EA_exp_2,27,1,female,25
EA_exp_2,28,1,female,18
EA_exp_2,29,1,female,19
EA_exp_2,31,2,female,18
EA_exp_2,32,2,male,20
EA_exp_2,33,1,male,31
EA_exp_2,34,2,female,19
EA_exp_2,35,1,female,19
EA_exp_2,36,1,female,28
EA_exp_2,37,1,female,18
EA_exp_2,38,1,female,22
EA_exp_2,39,2,female,20
EA_exp_2,40,1,male,19
EA_exp_2,41,1,female,19
EA_exp_2,42,2,female,20
EA_exp_2,43,2,female,20
EA_exp_2,44,1,female,20
EA_exp_2,45,2,other,27
EA_exp_2,46,1,male,18
EA_exp_2,47,2,female,18
EA_exp_2,48,2,female,19
EA_exp_2,49,2,female,21
EA_exp_2,50,2,female,19
EA_exp_2,51,1,female,18
EA_exp_2,52,2,male,19
EA_exp_2,53,2,male,19
EA_exp_2,54,2,female,19
EA_exp_2,55,1,female,20
EA_exp_2,56,2,female,18
EA_exp_2,57,1,female,21
EA_exp_2,58,1,female,19
EA_exp_2,59,1,female,27
EA_exp_2,60,2,female,20
EA_exp_2,61,2,female,18
EA_exp_2,62,1,female,28
EA_exp_2,63,1,male,22
EA_exp_2,64,2,female,21
EA_exp_2,65,1,female,19
EA_exp_2,66,1,female,19
EA_exp_2,67,1,female,18
EA_exp_2,68,1,female,19
EA_exp_2,69,1,female,18
EA_exp_2,70,1,female,21
EA_exp_2,71,2,female,18
EA_exp_2,72,2,female,19
EA_exp_2,73,1,female,19
