exp,idx,jatosID,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_3,1,28726,2,67,196,1,m,3,1360,354,hit,5,f,20,q,older,1
EA_exp_3,1,28726,2,68,76,2,z,2,1622,284,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,69,33,2,z,3,1937,283,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,70,117,1,m,2,6334,406,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,71,104,1,m,4,1415,406,hit,6,f,20,p,younger,1
EA_exp_3,1,28726,2,72,79,2,z,2,2070,923,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,73,139,1,m,4,1542,336,hit,6,f,20,p,younger,1
EA_exp_3,1,28726,2,74,108,1,z,3,3589,345,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,75,21,2,z,3,2253,826,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,76,124,1,z,3,1372,234,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,77,7,2,z,3,1490,238,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,78,41,2,z,2,804,206,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,79,19,2,z,2,1470,212,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,80,39,2,z,2,1070,201,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,81,133,1,z,2,1056,240,miss,3,f,20,p,younger,1
EA_exp_3,1,28726,2,82,156,1,m,4,1254,1486,hit,6,f,20,p,younger,1
EA_exp_3,1,28726,2,83,106,1,z,3,2304,285,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,84,166,1,z,2,1232,186,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,85,109,1,m,1,2497,644,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,86,27,2,m,1,1786,171,fa,4,f,20,NA,NA,NA
EA_exp_3,1,28726,2,87,158,1,m,3,1396,293,hit,5,f,20,q,older,1
