exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_2,2,1,18,107,12,28,11,d,1,2272,2112,0,6,6,new,old,female,22
EA_exp_2,2,1,19,12,1,161,2,j,1,1956,1876,0,1,1,old,new,female,22
EA_exp_2,2,1,20,147,2,81,1,d,1,1670,558,0,1,1,new,old,female,22
EA_exp_2,2,1,21,135,2,54,1,j,4,1859,980,1,1,1,new,old,female,22
EA_exp_2,2,1,22,193,2,90,1,d,1,2759,373,0,1,1,new,old,female,22
EA_exp_2,2,1,23,198,6,45,5,j,4,2066,250,1,3,3,new,old,female,22
EA_exp_2,2,1,24,169,2,73,1,d,4,2109,274,0,1,1,new,old,female,22
EA_exp_2,2,1,25,86,1,134,2,d,4,1408,534,1,1,1,old,new,female,22
EA_exp_2,2,1,26,197,12,95,11,j,4,1440,333,1,6,6,new,old,female,22
EA_exp_2,2,1,27,121,2,77,1,d,4,2983,335,0,1,1,new,old,female,22
EA_exp_2,2,1,28,171,4,30,3,j,4,1889,381,1,2,2,new,old,female,22
EA_exp_2,2,1,29,80,11,124,12,d,4,2025,564,1,6,6,old,new,female,22
EA_exp_2,2,1,30,6,1,145,2,d,4,1114,472,1,1,1,old,new,female,22
EA_exp_2,2,1,31,34,1,173,2,d,4,1456,337,1,1,1,old,new,female,22
EA_exp_2,2,1,32,15,5,187,6,j,4,1265,407,0,3,3,old,new,female,22
EA_exp_2,2,1,33,18,1,154,2,d,4,1027,405,1,1,1,old,new,female,22
EA_exp_2,2,1,34,48,3,117,4,d,4,1182,588,1,2,2,old,new,female,22
EA_exp_2,2,1,35,75,1,144,2,d,4,1329,439,1,1,1,old,new,female,22
EA_exp_2,2,1,36,31,7,152,8,j,4,1656,234,0,4,4,old,new,female,22
EA_exp_2,2,1,37,24,3,181,4,j,4,2026,277,0,2,2,old,new,female,22
EA_exp_2,2,1,38,98,7,166,8,d,4,758,370,1,4,4,old,new,female,22
EA_exp_2,2,1,39,106,2,83,1,d,4,1152,380,0,1,1,new,old,female,22
EA_exp_2,2,1,40,104,4,60,3,d,4,923,447,0,2,2,new,old,female,22
EA_exp_2,2,1,41,167,2,27,1,d,2,4781,1141,0,1,1,new,old,female,22
EA_exp_2,2,1,42,42,5,178,6,d,2,3122,1122,1,3,3,old,new,female,22
EA_exp_2,2,1,43,19,3,183,4,d,3,1358,564,1,2,2,old,new,female,22
EA_exp_2,2,1,44,36,1,200,2,d,3,2540,383,1,1,1,old,new,female,22
EA_exp_2,2,1,45,118,4,21,3,j,3,2293,538,1,2,2,new,old,female,22
EA_exp_2,2,1,46,163,6,10,5,j,4,1313,1479,1,3,3,new,old,female,22
EA_exp_2,3,2,1,24,4,110,3,d,1,5276,1291,0,2,2,new,old,female,20
EA_exp_2,3,2,2,53,2,135,1,j,4,2324,1408,1,1,1,new,old,female,20
EA_exp_2,3,2,3,155,1,41,2,d,1,3204,847,1,1,1,old,new,female,20
EA_exp_2,3,2,4,57,2,154,1,j,1,3257,977,1,1,1,new,old,female,20
EA_exp_2,3,2,5,116,5,27,6,d,3,2223,952,1,3,3,old,new,female,20
EA_exp_2,3,2,6,75,4,107,3,j,4,2080,581,1,2,2,new,old,female,20
EA_exp_2,3,2,7,10,4,157,3,j,4,1610,805,1,2,2,new,old,female,20
EA_exp_2,3,2,8,145,1,88,2,d,1,2562,869,1,1,1,old,new,female,20
EA_exp_2,3,2,9,77,8,115,7,d,1,2717,1676,0,4,4,new,old,female,20
EA_exp_2,3,2,10,134,9,84,10,d,1,2966,378,1,5,5,old,new,female,20
EA_exp_2,3,2,11,87,2,140,1,j,1,2198,777,1,1,1,new,old,female,20
EA_exp_2,3,2,12,173,1,78,2,d,1,5878,406,1,1,1,old,new,female,20
EA_exp_2,3,2,13,4,6,189,5,d,1,2869,378,0,3,3,new,old,female,20
EA_exp_2,3,2,14,28,2,184,1,j,1,2907,734,1,1,1,new,old,female,20
EA_exp_2,3,2,15,119,3,1,4,j,1,2015,631,0,2,2,old,new,female,20
EA_exp_2,3,2,16,52,2,146,1,d,2,3450,411,0,1,1,new,old,female,20
EA_exp_2,3,2,17,181,5,72,6,j,2,2502,366,0,3,3,old,new,female,20
