ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,sha,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,1.3295081806651556,5.014047594391556,0.8922655450876982,2.7804253521029647,3.3393381458721225,4.495005747013982,6.257206831951171,-286.1348777351699,0,136,NA,200,100,100,7,586.2697554703398,609.3579770361761,15,0,0.6590878182531787,0.1538747513593024,0.22468876196278717,0.5408790293844356,0.08055745729347485,0.09252511979386102,0.04744052925988329,0.013909102305558085,0.07672198625566304,0.20661548598056237,0.057574709510595845,0.10883297850764379,0.13789407645445978,0.4123607632910752,22.468876196278718,54.087902938443555,8.055745729347485,9.252511979386103,4.7440529259883295,1.3909102305558085,7.6721986255663035,20.661548598056235,5.7574709510595845,10.883297850764379,13.789407645445978,41.23607632910752,200000,200000,0.4423,0.56329,0.527305,0.559605,0.595145,0.838505,0.5478208004367834,1.7162295188491214,3.0433051895923913,3.836492129163197,5.172346359315974,7.3944822191866,0.49795965326783426,1.8337478730278902,3.0572635046857046,3.903752692637593,5.340034887881469,11.926417066839148,4.062000009665834,6.552908599961842,3,0.08759911110939478,-0.04986114716894913,0.11751835417876877,0.013958315093313356,0.06726056347439613,0.16768852856549454,4.531934847652548
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,0.6411100572270948,17.914404163622528,1.6630208131597184,2.4802268328769648,4.150399368924509,4.749167434925945,4.9827910169808005,-251.60011635886605,0,272,NA,200,100,100,7,517.2002327177321,540.2884542835684,35,0,0.6010737663100583,0.08116062121181167,0.495183201451461,0.21343747967685667,0.21021869765987067,0.03137914782563955,0.008770017221318538,0.04101145616485358,0.23384781881286545,0.06310781528263806,0.10197059959443816,0.030673830966264748,0.011318606320929236,0.5590813290228643,49.5183201451461,21.343747967685665,21.021869765987066,3.1379147825639553,0.8770017221318538,4.101145616485358,23.384781881286546,6.3107815282638065,10.197059959443816,3.067383096626475,1.1318606320929236,55.90813290228643,200000,200000,0.317325,0.5201,0.57307,0.531015,0.511135,0.912195,0.9405906966955184,2.043091212466447,3.158788801845824,4.426424416769269,4.862707756054752,6.149973918761683,0.6332864327917299,2.0582384864824697,3.2757739135104953,4.445110524574189,4.865485902320829,19.152383319798517,3.5700744715687347,3.587930204398258,3,0.30953565454957355,-0.3073042639037885,0.01514727401602256,0.1169851116646714,0.018686107804920304,0.0027781462660776413,13.002409401036834
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,1.1482114450186447,13.109804811370909,2.4731999326148846,3.029956262907689,4.82269639063327,7.194343239490282,7.843831618151154,-214.17202967836118,0,488,NA,200,100,100,7,442.34405935672237,465.4322809225586,31,0,0.7556219435208531,0.04684397226755943,0.7071584475363355,0.09812312776965948,0.1478744524264456,0.04069148701150882,0.0026842569652828496,0.003468228290767761,0.12443122980828211,0.029251117594096154,0.09069570907676869,0.10910831345501049,0.027537950105722797,0.6189756799601198,70.71584475363355,9.812312776965948,14.787445242644559,4.069148701150882,0.26842569652828496,0.3468228290767761,12.44312298082821,2.9251117594096154,9.06957090767687,10.910831345501048,2.7537950105722797,61.89756799601198,200000,200000,0.50671,0.52706,0.6015,0.64327,0.54414,0.92985,1.2712757585211567,2.7356251582587134,3.734346551155645,5.642242822806581,7.4888294890107066,8.95786644803537,1.284332529618961,2.7505137102347006,3.9170389000045627,5.983664867685278,7.516912051762876,21.954886739301664,5.216745499217093,4.918412466920529,3,0.17786980120930174,0.013056771097804232,0.014888551975987152,0.1826923488489176,0.34142204487869776,0.028082562752169693,12.997020291266294
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,2.1589132686008243,2.6641788310432903,0.7578205274366361,1.6140588938766056,3.416382543466759,5.560604899312043,6.535559209406878,-295.8247388835943,0,132,NA,200,100,100,7,605.6494777671886,628.7376993330249,41,0,0.6798617793370962,0.1449941892426757,0.1761327137683375,0.30346583764936463,0.37540725933962216,0.11975915722338348,0.014301557786135732,0.010933474233156493,0.023490914815681916,0.07372307846885867,0.22292422737836318,0.25129597145675253,0.09069290944228758,0.3378728984380561,17.61327137683375,30.34658376493646,37.540725933962214,11.975915722338348,1.4301557786135732,1.0933474233156493,2.3490914815681916,7.372307846885867,22.29242273783632,25.129597145675252,9.069290944228758,33.78728984380561,200000,200000,0.552355,0.55377,0.598665,0.611585,0.55245,0.772145,0.4718406054049376,1.1775744041723804,2.361628166304927,4.207523277792716,5.983489336430924,7.668906938539459,0.5065405957403133,1.2234139461628184,2.5427983302450157,4.445894382984608,6.03410539402434,10.118459362299454,1.9873440664962787,1.8600611700206655,3,0.6019529674344708,0.034699990335375686,0.04583954199043805,0.1811701639400889,0.23837110519189153,0.05061605759341603,2.449552423759995
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,1.7260456604427103,3.148001824356829,1.6221939677311386,2.701838952126247,3.7069492030510807,4.939215147165104,5.97453713967306,-301.29794473545024,0,134,NA,200,100,100,7,616.5958894709005,639.6841110367368,32,0,0.5828718368920324,0.11556649129211405,0.4822084900106175,0.269464606565442,0.13276041213182643,0.07304042866104066,0.024792055467364627,0.017734007163708765,0.146911779281328,0.1426654939137688,0.12755088991287084,0.13644288758253997,0.094840463502473,0.3515884858070194,48.22084900106175,26.946460656544204,13.276041213182644,7.304042866104066,2.4792055467364627,1.7734007163708765,14.6911779281328,14.266549391376879,12.755088991287083,13.644288758253998,9.484046350247299,35.15884858070194,200000,200000,0.53593,0.55075,0.548485,0.562375,0.556405,0.78197,0.9211502887809393,2.110669527351999,3.147564328275787,4.227310761061664,5.385198477888954,7.116454542409146,0.9752710044532193,2.1637048818240947,3.1973460882191933,4.304158500404716,5.440788058642619,9.877180901836633,0.652391418261478,0.6591104133351919,3,0.8827767832826083,0.05412071567228005,0.05303535447209562,0.04978175994340628,0.07684773934305245,0.05558958075366505,2.760726359427487
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,2.509552466463572,2.5786364059349083,0.7396034658743413,1.8206528754987015,3.509966635847219,5.0147155240193735,6.850063686431876,-292.91687451896763,0,126,NA,200,100,100,7,599.8337490379353,622.9219706037716,34,0,0.7449600940447392,0.13483858532543025,0.16968179470988212,0.3735980837495927,0.32188153621509497,0.09490375798505712,0.03161856232820637,0.008316265012166757,0.010578629879255593,0.06533045707084718,0.1791308190051581,0.1769020789017906,0.1867574662826833,0.3813005488602652,16.96817947098821,37.35980837495927,32.1881536215095,9.490375798505713,3.1618562328206368,0.8316265012166757,1.0578629879255592,6.533045707084718,17.91308190051581,17.69020789017906,18.67574662826833,38.13005488602652,200000,200000,0.590695,0.588815,0.611815,0.589315,0.60234,0.782555,0.4604562947974276,1.2623710116689149,2.523584480465365,4.121820014151564,5.706201824813088,7.975780705433711,0.5190963228216852,1.3569570161736908,2.7096568166098516,4.256778349855765,5.894841815604272,10.589171891690064,0.18629604351039358,0.18467747360861853,3,0.9800241314007174,0.05864002802425755,0.09458600450477594,0.1860723361444867,0.13495833570420146,0.18863999079118354,2.6133911862563535
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,2.6834054279545145,2.0529245934359768,0.3823700261860973,1.1448900314641075,3.2958338588559584,5.736581467775324,6.864929900138997,-265.04504779963514,0,126,NA,200,100,100,7,544.0900955992703,567.1783171651066,4,0,0.7132255634689937,0.15910543618833972,0.05688833601376747,0.26048129120885904,0.5235249365890338,0.13737472750572166,0.013521643921069693,0.008209064761548368,0.0023495921336629862,0.03185965381877856,0.25256519057856475,0.3200789376939501,0.11066406683156327,0.2824825589434803,5.688833601376747,26.048129120885903,52.35249365890338,13.737472750572167,1.3521643921069693,0.8209064761548368,0.23495921336629863,3.185965381877856,25.256519057856476,32.00789376939501,11.066406683156327,28.248255894348027,200000,200000,0.588935,0.58604,0.642825,0.626525,0.55645,0.73418,0.24633816878026382,0.7807999124718047,2.0279413015060106,4.155511090305061,6.213553362619615,7.991678374651916,0.2754939995590631,0.8448388163195221,2.332407502305111,4.4635223666787835,6.276566994165351,9.800696681484645,0.7641810223470097,2.833395278492639,3,0.41803192397659905,0.029155830778799297,0.06403890384771738,0.3044662007991006,0.3080112763737226,0.06301363154573547,1.809018306832729
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,2.06690185189248,2.812603018979716,0.9443609715205953,2.0273158715121387,4.759309810631944,8.39568893735142,11.3021704812681,-281.4515310365106,0,1198,NA,200,100,100,7,576.9030620730211,599.9912836388575,7,0,0.5163409676397098,0.04936605841037256,0.24378352241590032,0.35755374272218743,0.3492966764515397,0.04724414697692336,0.0019700276288021623,1.51883804647035e-4,0.03937288880357669,0.10963554827031313,0.33465059528640034,0.301462373954846,0.11717215639970724,0.0977064372851566,24.378352241590033,35.755374272218745,34.92966764515397,4.724414697692336,0.19700276288021623,0.0151883804647035,3.937288880357669,10.963554827031313,33.46505952864003,30.146237395484597,11.717215639970725,9.77064372851566,200000,200000,0.552045,0.561205,0.63988,0.67202,0.638705,0.76545,0.5769641917731013,1.456267996483006,2.9918696127167577,5.775413561759345,9.282363874497435,12.38714655724946,0.6191543756591876,1.5235160956193974,3.3727157087211443,6.375859459273587,9.677014608060297,14.718455392035132,4.964276898577838,5.339952708216701,3,0.14853082788573146,0.04219018388608631,0.06724809913639129,0.3808460960043867,0.6004458975142422,0.3946507335628624,2.3313088347856716
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,2.6649215507787054,3.5303991581234384,0.6467829380164745,2.9015330886465636,4.141177206778776,4.601736391151955,5.304211576488231,-204.52359622860772,0,142,NA,200,100,100,7,423.04719245721543,446.1354140230517,17,0,0.8320295349760938,0.08176588918442895,0.13753377291490734,0.6481201769111481,0.13258016098951564,0.02555584251076526,0.02487423405038358,0.03133581262328011,0.0023753684809275886,0.08030825341402716,0.08528684312895148,0.03589987032283881,0.05713790825028742,0.7389917564029675,13.753377291490734,64.8120176911148,13.258016098951565,2.555584251076526,2.487423405038358,3.1335812623280113,0.23753684809275888,8.030825341402716,8.528684312895148,3.589987032283881,5.713790825028742,73.89917564029676,200000,200000,0.60616,0.69174,0.592625,0.534815,0.54909,0.872645,0.40781710838164825,1.6271586429287537,3.4316151285471244,4.358184765331861,4.920534028558279,6.4579437961576165,0.4651224953772988,2.04704820039325,3.5459608807189777,4.373211289568476,4.955004694172636,11.493069203948513,0.49578075182070225,0.9748275926202523,3,0.8073426168287436,0.05730538699565052,0.4198895574644965,0.11434575217185339,0.015026524236615657,0.0344706656143563,5.035125407790897
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,4.691349966428834,1.1640042987005543,1.0086831661947766,2.3782006780643874,3.5745762809538757,4.939805521811627,6.178996534133446,-293.49412006039535,0,754,NA,200,100,100,7,600.9882401207907,624.076461686627,3,0,0.7573693296540421,0.12821301703694066,0.2674354360172321,0.4193470678969127,0.1850044790489146,0.08570782859043502,0.027626671458337082,0.014878516988168555,0.003526791315320142,0.07445555076172469,0.16464832826891307,0.23433964735524146,0.18808320967204029,0.33494647262676036,26.743543601723207,41.93470678969127,18.50044790489146,8.570782859043502,2.762667145833708,1.4878516988168555,0.3526791315320142,7.445555076172469,16.464832826891307,23.433964735524146,18.80832096720403,33.49464726267604,200000,200000,0.733685,0.68143,0.60414,0.58657,0.563255,0.669925,0.6115373037635866,1.6330402924411689,2.8989380089861982,4.140803496013813,5.455974250518145,7.321881448686714,0.8115418479511255,1.884280599171099,3.0214543170504826,4.258733282656475,5.53476822583497,8.30189260239907,2.216294669981246,1.836185563695087,3,0.607092387280503,0.20000454418753888,0.25124030672993003,0.12251630806428437,0.1179297866426623,0.07879397531682475,0.9800111537123559
