ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,do,dn,g1,g2,g3,g4,g5,g6,chk_sumg,ro1,ro2,ro3,ro4,ro5,ro6,rn1,rn2,rn3,rn4,rn5,rn6,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,ChiSq,G,df,pG
1,100,100,0.56,0.14,0.42000000000000004,3,39,44,7,4,3,0,20,24,21,21,14,Inf,0.8416212335729144,0.1509692154967774,-0.3853204664075676,-1.080319340814956,1.8807936081512504,0.20189347914185077,-1.080319340814956,-1.4757910281791702,-1.8807936081512509,FALSE,NA,NA,1,0.11255788067145121,0.0300105801399166,1.2119726157737085e-12,0.3175889159110635,0.3661224537952932,0.15075529299495447,0.13459725721759466,0.030936080079882244,1,0,0,0,0,0,1,1,0,0,0,0,0,-300.80936336589855,0,157,NA,200,100,100,7,615.6187267317971,638.7069482976334,35,0,0.39324573305769034,0.30679662500569593,0.030010580141092202,0.30805788829856523,0.3551349065546466,0.14623103919301278,0.13055791544325307,0.03000767036943006,1.0755555467103849e-12,0.28184178061137044,0.32491248632986364,0.13378659671543872,0.11944727520099202,0.1400118611412596,3.00105801410922,30.805788829856525,35.51349065546466,14.623103919301277,13.055791544325308,3.000767036943006,1.0755555467103849e-10,28.184178061137043,32.49124863298636,13.378659671543872,11.944727520099201,14.00118611412596,0.9999999999804136,0.5,0.5,0.5,0.5,0.9019583760760463,30.264901958109228,31.84295775608664,3,5.647858539736816e-7
2,100,100,0.74,0.12,0.62,4,28,56,10,1,1,1,4,21,26,20,28,2.3263478740408408,1.6448536269514715,0.6433454053929168,-0.050153583464733656,-0.5828415072712162,1.7506860712521695,0.46769879911450835,-1.17498679206609,-2.0537489106318225,-2.3263478740408408,TRUE,0.679689550608206,1.2498942119796594,2,0.2725869634458908,0.026646814137783,0.013743952309569412,0.18816699875946566,0.45270064751793027,0.21165579521652703,0.12345855938997541,0.010274046806532211,1,0,0,0,0,0,1,1,0,0,0,0,0,-297.1903131177935,0,260,NA,200,100,100,7,608.380626235587,631.4688478014233,2,0,0.523826989308316,0.3361849008752355,0.040024533904640766,0.18315294771665772,0.440637617503466,0.20601584258020755,0.12016878210419228,0.010000276190835664,0.009997530083758747,0.1368751279468962,0.3293003526610291,0.15396118470272863,0.08980536557445784,0.2800604390311294,4.002453390464076,18.315294771665773,44.0637617503466,20.601584258020754,12.016878210419229,1.0000276190835664,0.9997530083758748,13.68751279468962,32.930035266102905,15.396118470272862,8.980536557445784,28.006043903112943,0.8328810049514824,0.5,0.5,0.5,0.5,0.9866573879354522,55.91320113789987,61.71151128376958,3,2.532418719169982e-13
3,100,100,0.47,0.22,0.24999999999999997,2,41,35,3,16,3,0,30,23,2,28,17,Inf,0.5244005127080407,-0.0752698620998299,-0.125661346855074,-0.9541652531461942,2.053748910631822,0.17637416478086118,-0.7721932141886849,-0.8778962950512285,-1.8807936081512509,FALSE,NA,NA,3,0.14375376054529584,0.019983356709049202,3.414683831709423e-12,0.386672316038764,0.31584059797765013,0.0272331993713789,0.2396420234971578,0.030611863111634552,1,0,0,0,0,0,1,1,0,0,0,0,0,-278.4551781152237,0,1134,NA,200,100,100,7,570.9103562304474,593.9985777962837,4,0,0.3984759592021557,0.2915422954246939,0.01998335671239565,0.3789453052178472,0.30952904264506337,0.026688988634011982,0.23485317145913576,0.030000135331546177,2.9238101898279734e-12,0.33108671650943255,0.27043732428548795,0.023318324550063396,0.20519258143475722,0.1699650532173351,1.998335671239565,37.894530521784716,30.952904264506337,2.668898863401198,23.485317145913577,3.000013533154618,2.9238101898279736e-10,33.10867165094326,27.043732428548793,2.3318324550063396,20.51925814347572,16.99650532173351,0.9999999999162691,0.5,0.5,0.5,0.5,0.9228921117139217,6.8814884541852,6.9182027295859445,3,0.07455113594229013
4,100,100,0.88,0.19,0.69,0,52,29,16,3,0,0,6,6,10,41,37,Inf,1.5547735945968528,1.17498679206609,0.7721932141886849,-0.3318533464368165,Inf,-0.050153583464733656,-0.8778962950512285,-1.8807936081512509,-Inf,NA,NA,NA,4,0.3699999621723318,3.8816902189409174e-4,3.117776770600829e-4,0.35654909375225896,0.20908334074907184,0.16246265064214666,0.27159313125631496,5.923147528008599e-9,1,0,0,0,0,0,1,1,0,0,0,0,0,-285.12640132030623,0,226,NA,200,100,100,7,584.2528026406125,607.3410242064488,3,0,0.6434551249192638,0.43388730081100296,6.998256765182218e-4,0.3564106924392799,0.20900218107319893,0.16239958767395257,0.271487707216202,5.920848345626117e-9,1.9641994834167478e-4,0.22462594255134397,0.1317225125810505,0.10235147605013564,0.17110368296521328,0.36999996590391493,0.06998256765182218,35.641069243927994,20.900218107319894,16.239958767395258,27.148770721620203,5.920848345626117e-7,0.019641994834167478,22.462594255134398,13.17225125810505,10.235147605013564,17.11036829652133,36.99999659039149,0.7773326522008405,0.5,0.5,0.5,0.5,0.9999999949573196,81.46228127452422,90.50651008752155,3,0
5,100,100,0.7,0.07,0.6299999999999999,43,27,23,4,0,3,12,9,9,8,5,57,1.17498679206609,0.8064212470182404,0.5244005127080407,0.3054807880993974,0.17637416478086118,0.17637416478086118,-0.5244005127080407,-1.4757910281791702,-1.8807936081512509,-1.8807936081512509,TRUE,0.434295375223479,1.0826757775815545,5,0.5527298044272192,0.22091695558756783,0.26831132057498974,0.2935682728575447,0.26096154021335083,0.09785549671364756,0.04078667618923653,0.038516693451230655,1,0,0,0,0,0,1,1,0,0,0,0,0,-273.7241093233305,0,154,NA,200,100,100,7,561.448218646661,584.5364402124973,10,0,0.6319676852288763,0.13802146894381892,0.42995375607145087,0.2287140637607555,0.2033107112239747,0.0762375582921593,0.03177620785697445,0.030007702794685166,0.12000765682796675,0.1313043388149575,0.11672031912819952,0.043767847152984755,0.018242664635923504,0.569957173439968,42.995375607145085,22.87140637607555,20.33107112239747,7.62375582921593,3.177620785697445,3.0007702794685165,12.000765682796676,13.130433881495751,11.672031912819952,4.376784715298475,1.8242664635923505,56.9957173439968,0.756907809814383,0.5,0.5,0.5,0.5,0.984887137301235,13.256887549492852,17.744440222386242,3,4.965845106339462e-4
6,100,100,0.65,0.23,0.42000000000000004,21,32,24,9,3,11,9,17,9,7,5,53,1.3407550336902165,0.6433454053929168,0.3853204664075676,0.20189347914185077,0.0752698620998299,0.8064212470182404,-0.0752698620998299,-0.7388468491852137,-1.080319340814956,-1.2265281200366105,TRUE,0.5934486557464755,0.8040293268622787,6,0.46852459231216004,0.04891697990641373,0.16931597981977348,0.3305434921696943,0.2225879666585477,0.10792442434319026,0.053976472463489536,0.11565166454530462,1,0,0,0,0,0,1,1,0,0,0,0,0,-302.61057662114956,0,134,NA,200,100,100,7,619.2211532422991,642.3093748081354,47,0,0.6160369530115102,0.26397552828535575,0.20995053334350858,0.31437430280503353,0.21169963556610202,0.10264508744618316,0.051336106444573926,0.10999433439459866,0.08998727940278019,0.17567573725945063,0.11830003032625896,0.057359177427272486,0.02868716770808457,0.5299906078761532,20.995053334350857,31.437430280503353,21.169963556610202,10.264508744618315,5.133610644457392,10.999433439459866,8.99872794027802,17.567573725945064,11.830003032625896,5.735917742727248,2.868716770808457,52.99906078761531,0.6164964411554474,0.5,0.5,0.5,0.5,0.9420121652624113,3.988263924318944,3.8895175226105194,3,0.2736440345373201
7,100,100,0.73,0.12,0.61,18,37,33,9,3,0,2,7,18,16,10,47,2.053748910631822,1.3407550336902165,0.612812991016627,0.17637416478086118,-0.0752698620998299,0.9153650878428139,-0.125661346855074,-1.17498679206609,-1.8807936081512509,-Inf,FALSE,NA,NA,7,0.4696848088558358,0.1444479111024145,0.04109647179530867,0.3148745889798884,0.3739268653348793,0.17917128143813035,0.09093079193693379,5.148594883763735e-10,1,0,0,0,0,0,1,1,0,0,0,0,0,-294.38544933162643,0,220,NA,200,100,100,7,602.7708986632529,625.8591202290892,3,0,0.6129240417992058,0.23108639353209418,0.17960808339321155,0.2693916123425122,0.3199139107321821,0.1532903641048496,0.07779602898675543,4.4048911076914853e-10,0.02179408329547987,0.16698277784130963,0.19829909706400464,0.09501725236340693,0.04822198030692526,0.4696848091288736,17.960808339321154,26.93916123425122,31.99139107321821,15.329036410484962,7.7796028986755434,4.4048911076914854e-8,2.1794083295479867,16.698277784130962,19.829909706400464,9.501725236340693,4.822198030692526,46.96848091288736,0.9021197386372034,0.5,0.5,0.5,0.5,0.9999999997093393,25.159054386725025,25.632477894374638,3,1.1385728839630183e-5
8,100,100,0.59,0.25,0.33999999999999997,31,19,25,6,11,8,18,10,13,9,7,43,0.9153650878428139,0.5828415072712162,0.2275449766411493,0,-0.17637416478086135,0.49585034734745304,0,-0.6744897501960817,-0.8778962950512285,-1.4050715603096322,TRUE,0.5868922178040431,0.5988151100214828,8,0.378810437316245,0.02847702677816556,0.2897865806325556,0.18208765330663207,0.23861282293175307,0.09416776755004681,0.11301026788463972,0.08233490769437268,1,0,0,0,0,0,1,1,0,0,0,0,0,-322.5341166047883,0,194,NA,200,100,100,7,659.0682332095766,682.156454775413,33,0,0.5586528558498721,0.2812684752949475,0.3100113471940948,0.17690233832744579,0.23181783918351187,0.09148614951188407,0.10979207145988117,0.07999025432318224,0.1800123992947579,0.11311094972765798,0.14822379512771197,0.05849603434331908,0.07020079888603335,0.4299560226205197,31.001134719409478,17.69023383274458,23.181783918351186,9.148614951188407,10.979207145988116,7.999025432318224,18.00123992947579,11.311094972765797,14.822379512771198,5.849603434331907,7.020079888603335,42.99560226205197,0.5459290071733026,0.5,0.5,0.5,0.5,0.940522306220355,3.396041728806876,3.315475109947599,3,0.3454945987364866
9,100,100,0.74,0.07,0.6699999999999999,19,56,18,5,2,0,0,13,13,12,24,38,Inf,1.1263911290388005,0.6433454053929168,0.3054807880993974,-0.3054807880993974,0.8778962950512288,-0.6744897501960817,-1.4757910281791702,-2.0537489106318225,-Inf,NA,NA,NA,9,0.37999520323543495,0.18806684654269626,0.0023749696511525704,0.4753554579572667,0.2146566602013576,0.12137537384162951,0.18623753826942277,7.917078104213715e-11,1,0,0,0,0,0,1,1,0,0,0,0,0,-293.4008483542476,0,228,NA,200,100,100,7,600.8016967084952,623.8899182743315,2,0,0.5707166843400902,0.24976112183879248,0.18999516314092196,0.38595685599238433,0.1742868590279012,0.09854869003529339,0.15121243173921772,6.428138191322014e-11,0.0014724925758848593,0.2947226641017219,0.133088158982303,0.0752533139909026,0.11546816706466637,0.37999520328452124,18.999516314092197,38.595685599238436,17.42868590279012,9.85486900352934,15.121243173921773,6.428138191322014e-9,0.14724925758848592,29.47226641017219,13.3088158982303,7.52533139909026,11.546816706466636,37.99952032845212,0.9949253534501942,0.5,0.5,0.5,0.5,0.999999999935412,46.94950911965122,52.40030219358154,3,2.4608648452328907e-11
10,100,100,0.68,0.32,0.36000000000000004,18,36,14,11,14,7,3,16,13,8,27,33,1.8807936081512504,0.8778962950512288,0.46769879911450835,0.2533471031357998,-0.4399131656732338,0.9153650878428139,-0.10043372051146975,-0.4676987991145081,-0.8064212470182404,-1.4757910281791702,TRUE,0.9649882755804842,0.9814110741003935,10,0.2702880763180092,0.14482848866611103,0.041111775701817774,0.32809800497251584,0.1703396407416537,0.11987807717899458,0.25868994838158504,0.08188255302343306,1,0,0,0,0,0,1,1,0,0,0,0,0,-329.96407580741993,0,140,NA,200,100,100,7,673.9281516148399,697.0163731806762,48,0,0.6062843537770348,0.39376421718225374,0.17998610802665438,0.2805800667779802,0.14566960801311166,0.10251631643696138,0.2212242741243658,0.07002362662092654,0.029999752933355973,0.23941702636471793,0.12429886692489132,0.0874764623055823,0.18876913987072133,0.33003875160073115,17.99861080266544,28.05800667779802,14.566960801311165,10.251631643696138,22.12242741243658,7.002362662092654,2.999975293335597,23.941702636471792,12.429886692489132,8.74764623055823,18.876913987072133,33.003875160073115,0.9023324084675002,0.5,0.5,0.5,0.5,0.9094793035773476,11.526850002704718,11.729423245078587,3,0.008369923218519038
11,100,100,0.73,0.39,0.33999999999999997,11,26,24,20,13,6,2,10,15,17,16,40,2.053748910631822,1.17498679206609,0.612812991016627,0.1509692154967774,-0.2533471031357998,1.2265281200366105,0.3318533464368165,-0.27931903444745404,-0.8778962950512285,-1.554773594596853,TRUE,0.8369065261444372,0.9409264831936702,11,0.35804905377451934,0.0813989486005756,0.031150918891956095,0.23069942048668754,0.24993395936224122,0.23711052667032814,0.18580090319642983,0.06530427139235706,1,0,0,0,0,0,1,1,0,0,0,0,0,-327.32971257269594,0,142,NA,200,100,100,7,668.6594251453919,691.7476467112282,3,0,0.6714595851599449,0.4484754564863303,0.11001421544678466,0.21192073021630908,0.22958959785057578,0.21780997909723468,0.17067690502720312,0.05998857236189255,0.019997361858484417,0.1480977112750991,0.1604453417064716,0.15221332695603923,0.11927506561649706,0.39997119258740854,11.001421544678466,21.192073021630907,22.95895978505758,21.780997909723467,17.06769050272031,5.998857236189255,1.9997361858484417,14.80977112750991,16.04453417064716,15.221332695603923,11.927506561649706,39.99711925874085,0.8699474121139796,0.5,0.5,0.5,0.5,0.9475935522484814,5.481483030456402,5.559984206320392,3,0.13509459408076419
