idx,exp,os_ppt_no,datetime
64,EA_exp_2,52,Mon Feb 06 2023 13:15:52 GMT+0000 (Greenwich Mean Time)
65,EA_exp_2,49,Mon Feb 06 2023 13:15:02 GMT+0000 (Greenwich Mean Time)
66,EA_exp_2,48,Mon Feb 06 2023 13:14:42 GMT+0000 (Greenwich Mean Time)
67,EA_exp_2,47,Mon Feb 06 2023 13:14:33 GMT+0000 (Greenwich Mean Time)
68,EA_exp_2,45,Mon Feb 06 2023 13:14:29 GMT+0000 (Greenwich Mean Time)
69,EA_exp_2,44,Mon Feb 06 2023 13:13:41 GMT+0000 (Greenwich Mean Time)
70,EA_exp_2,43,Mon Feb 06 2023 13:13:36 GMT+0000 (Greenwich Mean Time)
71,EA_exp_2,42,Mon Feb 06 2023 13:10:37 GMT+0000 (Greenwich Mean Time)
72,EA_exp_2,80,Wed Feb 01 2023 10:29:51 GMT+0000 (Greenwich Mean Time)
73,EA_exp_2,79,Wed Feb 01 2023 10:30:04 GMT+0000 (Greenwich Mean Time)
