"","exp","idx","new_1","new_2","new_3","new_4","new_5","new_6","old_1","old_2","old_3","old_4","old_5","old_6"
"84","EA_exp_2","12",2,28,48,20,2,0,3,7,31,24,31,4
"85","EA_exp_2","13",39,24,19,5,7,6,11,8,10,9,6,56
"86","EA_exp_2","14",30,43,13,7,6,1,5,12,3,18,35,27
"87","EA_exp_2","15",71,19,4,1,1,4,24,14,4,3,8,47
"88","EA_exp_2","16",51,9,24,7,4,5,14,1,19,14,10,42
"89","EA_exp_2","17",22,20,31,18,6,3,4,9,22,24,18,23
"90","EA_exp_2","18",51,22,17,7,3,0,8,20,19,6,8,39
"91","EA_exp_2","19",49,24,21,4,0,2,5,4,16,24,5,46
"92","EA_exp_2","20",16,42,25,12,5,0,4,10,9,20,26,31
"93","EA_exp_2","21",23,37,19,7,4,10,14,20,19,0,2,45
"94","EA_exp_2","22",43,22,22,6,6,1,3,5,10,3,4,75
"95","EA_exp_2","23",8,53,26,6,6,1,0,18,16,8,43,15
"96","EA_exp_2","24",2,18,70,2,7,1,0,5,45,1,14,35
"97","EA_exp_2","25",8,35,46,5,4,2,0,4,12,19,28,37
"98","EA_exp_2","26",10,31,31,14,10,4,2,15,16,19,22,26
"99","EA_exp_2","27",29,28,24,12,5,2,2,3,7,25,13,50
"100","EA_exp_2","28",19,43,29,5,3,1,6,15,20,11,16,32
"101","EA_exp_2","29",12,47,24,11,6,0,4,23,15,13,17,28
"102","EA_exp_2","31",18,43,27,5,3,4,3,13,8,6,23,47
"103","EA_exp_2","32",21,17,26,14,6,16,6,7,12,14,6,55
"104","EA_exp_2","33",45,17,13,15,8,2,3,5,6,20,14,52
"105","EA_exp_2","34",3,15,73,7,0,2,1,11,30,12,11,35
"106","EA_exp_2","35",43,34,14,6,2,1,6,12,10,6,12,54
"107","EA_exp_2","36",32,31,23,13,0,1,1,1,10,25,5,58
"108","EA_exp_2","37",3,53,30,6,8,0,0,16,9,4,33,38
"109","EA_exp_2","38",75,5,3,5,7,5,47,0,3,10,2,38
"110","EA_exp_2","39",1,23,46,23,5,2,0,2,32,17,16,33
"111","EA_exp_2","40",11,49,30,5,5,0,6,14,9,8,10,53
"112","EA_exp_2","41",8,26,46,17,3,0,1,4,13,25,16,41
"113","EA_exp_2","42",18,62,9,8,2,1,0,16,5,10,21,48
"114","EA_exp_2","43",0,0,86,10,4,0,0,0,67,21,11,1
"115","EA_exp_2","44",17,31,39,7,5,1,2,11,11,11,22,43
"116","EA_exp_2","45",51,35,10,1,0,3,29,20,10,1,8,32
"117","EA_exp_2","46",23,19,26,13,4,15,14,11,19,8,2,46
"118","EA_exp_2","47",11,35,35,11,6,2,3,12,16,18,21,30
"119","EA_exp_2","48",39,43,7,7,1,3,9,24,10,4,15,38
"120","EA_exp_2","49",1,83,3,0,12,1,0,47,3,1,38,11
"121","EA_exp_2","50",0,3,84,8,5,0,0,0,33,18,46,3
"122","EA_exp_2","51",11,49,34,6,0,0,0,5,17,12,7,59
"123","EA_exp_2","52",7,20,38,19,15,1,3,16,35,25,12,9
"124","EA_exp_2","53",4,71,6,0,3,16,2,48,5,1,2,42
"125","EA_exp_2","54",12,35,25,17,9,2,4,19,22,11,19,25
"126","EA_exp_2","55",5,44,42,4,5,0,1,14,33,8,30,14
"127","EA_exp_2","56",31,37,24,5,3,0,2,8,8,15,19,48
"128","EA_exp_2","57",15,50,26,7,2,0,4,5,12,13,24,42
"129","EA_exp_2","58",25,53,17,3,2,0,3,6,9,10,24,48
"130","EA_exp_2","59",54,23,13,4,3,3,2,2,1,1,3,91
"131","EA_exp_2","60",19,30,23,23,3,2,1,2,7,7,9,74
"132","EA_exp_2","61",11,47,30,9,3,0,2,19,15,21,27,16
"133","EA_exp_2","62",17,31,17,18,14,3,8,24,11,16,31,10
"134","EA_exp_2","63",10,27,52,3,7,1,0,11,32,10,16,31
"135","EA_exp_2","64",83,0,0,3,3,11,49,0,2,1,0,48
"136","EA_exp_2","65",55,30,8,5,2,0,19,13,3,9,15,41
"137","EA_exp_2","66",13,38,25,6,11,7,1,21,18,9,26,25
"138","EA_exp_2","67",0,14,58,23,5,0,0,9,43,25,21,2
"139","EA_exp_2","68",0,62,0,0,38,0,0,27,0,0,73,0
"140","EA_exp_2","69",12,5,69,1,5,8,6,7,35,2,1,49
"141","EA_exp_2","70",11,20,35,22,9,3,2,9,20,18,21,30
"142","EA_exp_2","71",16,51,28,3,1,1,1,12,25,10,12,40
"143","EA_exp_2","72",2,27,43,24,3,1,0,1,13,26,27,33
"144","EA_exp_2","73",52,21,10,11,4,2,12,6,3,10,10,59
"145","EA_exp_3","1",3,39,44,7,4,3,0,20,24,21,21,14
"146","EA_exp_3","2",4,28,56,10,1,1,1,4,21,26,20,28
"147","EA_exp_3","3",2,41,35,3,16,3,0,30,23,2,28,17
"148","EA_exp_3","4",0,52,29,16,3,0,0,6,6,10,41,37
"149","EA_exp_3","5",43,27,23,4,0,3,12,9,9,8,5,57
"150","EA_exp_3","6",21,32,24,9,3,11,9,17,9,7,5,53
"151","EA_exp_3","7",18,37,33,9,3,0,2,7,18,16,10,47
"152","EA_exp_3","8",31,19,25,6,11,8,18,10,13,9,7,43
"153","EA_exp_3","9",19,56,18,5,2,0,0,13,13,12,24,38
"154","EA_exp_3","10",18,36,14,11,14,7,3,16,13,8,27,33
"155","EA_exp_3","11",11,26,24,20,13,6,2,10,15,17,16,40
"156","EA_exp_3","12",28,32,13,12,9,6,12,14,15,6,10,43
"157","EA_exp_3","13",9,25,43,10,8,5,6,22,26,9,14,23
"158","EA_exp_3","14",66,13,4,4,9,4,9,3,0,1,8,79
"159","EA_exp_3","15",35,38,12,0,1,14,5,14,4,3,3,71
"160","EA_exp_3","16",12,16,21,24,12,15,2,8,13,14,21,42
"161","EA_exp_3","17",9,49,14,10,17,1,0,14,13,14,39,20
"162","EA_exp_3","18",73,6,4,8,4,5,17,4,4,5,5,65
"163","EA_exp_3","19",14,25,40,6,8,7,12,20,19,9,10,30
"164","EA_exp_3","20",5,40,32,6,11,6,1,27,17,5,24,26
"165","EA_exp_3","21",65,14,2,0,9,10,13,7,2,0,2,76
"166","EA_exp_3","22",30,24,26,8,3,9,7,21,8,5,11,48
"167","EA_exp_3","23",9,18,45,5,10,13,6,12,48,2,5,27
"168","EA_exp_3","24",80,0,0,0,0,20,52,0,0,0,0,48
"169","EA_exp_3","25",7,74,4,1,10,4,1,37,1,0,14,47
"170","EA_exp_3","26",6,29,51,13,1,0,0,6,22,31,26,15
"171","EA_exp_3","27",1,15,58,23,3,0,0,4,36,33,14,13
"172","EA_exp_3","28",12,41,35,3,7,2,5,19,26,5,21,24
"173","EA_exp_3","29",18,55,23,4,0,0,7,17,17,25,14,20
"174","EA_exp_3","30",13,15,37,21,7,7,4,3,17,18,12,46
"175","EA_exp_3","31",13,31,34,6,12,4,1,8,20,9,10,52
"176","EA_exp_3","32",8,48,26,16,2,0,0,8,9,37,33,13
"177","EA_exp_3","33",0,16,51,26,7,0,0,0,22,39,29,10
"178","EA_exp_3","34",9,29,51,9,2,0,2,3,21,29,17,28
"179","EA_exp_3","35",10,26,31,28,3,2,1,1,21,22,32,23
"180","EA_exp_3","36",53,28,6,9,3,1,13,11,5,7,15,49
"181","EA_exp_3","37",7,21,58,9,5,0,0,10,25,16,16,33
"182","EA_exp_3","38",0,25,64,10,1,0,2,3,16,18,54,7
"183","EA_exp_3","39",9,50,32,3,4,2,2,20,24,4,14,36
"184","EA_exp_3","40",31,20,40,5,3,1,1,4,15,20,15,45
"185","EA_exp_3","41",19,28,22,4,15,12,2,13,15,0,15,55
"186","EA_exp_3","42",34,34,17,6,8,1,7,16,12,6,15,44
"187","EA_exp_3_forTB","43",2,14,69,14,1,0,0,4,27,29,22,18
"188","EA_exp_3_forTB","44",0,12,84,4,0,0,0,1,33,26,39,1
"189","EA_exp_3_forTB","45",1,16,61,16,6,0,0,7,30,32,19,12
"190","EA_exp_3_forTB","46",7,33,42,16,1,1,0,6,20,21,33,20
"191","EA_exp_3_forTB","47",1,22,58,18,1,0,0,2,29,20,26,23
"192","EA_exp_3_forTB","48",11,34,38,12,4,1,1,5,10,5,20,59
"193","EA_exp_3_forTB","49",41,29,7,2,6,15,11,11,3,1,4,70
"194","EA_exp_3_forTB","50",16,54,22,3,0,5,4,19,15,1,9,52
"195","EA_exp_3_forTB","51",37,25,28,6,2,2,16,14,18,7,10,35
"196","EA_exp_3_forTB","52",37,25,10,5,10,13,11,9,3,2,23,52
"197","EA_exp_3_forTB","53",7,42,30,20,1,0,2,3,15,31,26,23
"198","EA_exp_3_forTB","54",31,34,19,14,2,0,7,9,18,22,13,31
"199","EA_exp_3_forTB","55",10,22,31,20,16,1,2,12,11,24,18,33
"200","EA_exp_3_forTB","56",3,28,54,14,1,0,0,7,27,27,23,16
"201","EA_exp_3_forTB","57",9,6,60,22,2,1,1,7,39,19,13,21
"202","EA_exp_3_forTB","58",5,34,39,18,4,0,2,4,24,18,15,37
"203","EA_exp_3_forTB","59",30,4,30,2,2,32,17,4,28,4,2,45
"204","EA_exp_3_forTB","60",6,54,25,1,10,4,2,27,17,4,17,33
"205","EA_exp_3_forTB","61",0,8,72,18,2,0,0,4,39,41,8,8
"206","EA_exp_3_forTB","62",17,22,25,22,11,3,7,9,19,10,14,41
"207","EA_exp_3_forTB","63",25,33,21,7,7,7,12,18,17,10,15,28
"208","EA_exp_3_forTB","64",19,21,39,17,3,1,0,3,9,24,17,47
"209","EA_exp_3_forTB","65",14,26,43,13,4,0,3,12,17,23,28,17
"210","EA_exp_3_forTB","66",7,15,65,8,5,0,2,3,34,15,19,27
"211","EA_exp_3_forTB","67",19,26,40,11,4,0,1,7,22,22,23,25
"212","EA_exp_3_forTB","68",6,17,43,30,4,0,1,11,30,23,21,14
"213","EA_exp_3_forTB","69",11,31,40,14,3,1,0,6,19,21,30,24
"214","EA_exp_3_forTB","70",4,11,68,12,5,0,0,5,18,20,32,25
"215","EA_exp_3_forTB","71",6,20,38,21,13,2,0,1,10,22,29,38
"216","EA_exp_3_forTB","72",22,26,23,18,9,2,13,15,17,16,17,22
